Adam Bandt,Representative,Melbourne,Victoria,Australian Greens,,Adam_Bandt,M3C
Alan Cadman,Representative,Mitchell,New South Wales,Liberal Party of Australia,Life Gold Pass Holder,Alan_Cadman,
Alan Ferguson,Senator,,South Australia,Liberal Party of Australia,Life Gold Pass Holder,Alan_Ferguson,
Alan Griffin,Representative,Corinella,Victoria,Australian Labor Party,Life Gold Pass Holder,Alan_Griffin,
Alan Tudge,Representative,Aston,Victoria,Liberal Party of Australia,,Alan_Tudge,M2Y
Alannah MacTiernan,Representative,Perth,Western Australia,Australian Labor Party,Post Retirement Traveller,Alannah_MacTiernan,
Alex Gallacher,Senator,,South Australia,Australian Labor Party,,Alex_Gallacher,204953
Alex Hawke,Representative,Mitchell,New South Wales,Liberal Party of Australia,,Alex_Hawke,HWO
Alexander Somlyay,Representative,Fairfax,Queensland,Liberal Party of Australia,Life Gold Pass Holder,Alexander_Somlyay,
Amanda Rishworth,Representative,Kingston,South Australia,Australian Labor Party,,Amanda_Rishworth,HWA
Andrew Broad,Representative,Mallee,Victoria,The Nationals,,Andrew_Broad,30379
Andrew Gee,Representative,Calare,New South Wales,The Nationals,,Andrew_Gee,261393
Andrew Giles,Representative,Scullin,Victoria,Australian Labor Party,,Andrew_Giles,243609
Andrew Hastie,Representative,Canning,Western Australia,Liberal Party of Australia,,Andrew_Hastie_(Australian_politician),260805
Andrew Laming,Representative,Bowman,Queensland,Liberal Party of Australia,,Andrew_Laming,E0H
Andrew Leigh,Representative,Fenner,Australian Capital Territory,Australian Labor Party,,Andrew_Leigh,BU8
Andrew Nikolic,Representative,Bass,Tasmania,Liberal Party of Australia,Post Retirement Traveller,Andrew_Nikolic,
Andrew Robb,Representative,Goldstein,Victoria,Liberal Party of Australia,,Andrew_Robb,
Andrew Southcott,Representative,Boothby,South Australia,Liberal Party of Australia,Life Gold Pass Holder,Andrew_Southcott,
Andrew Wallace,Representative,Fisher,Queensland,Liberal Party of Australia,,Andrew_Wallace,265967
