"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","27-Jan-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","17 Feb 16","Canberra","Assistant Minister - Official Business","3","273.00","","819.00","15-Feb-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Mar 16","10 Mar 16","Geraldton","Minister - Official Business","1","368.00","","368.00","10-Mar-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Mar 16","29 Mar 16","Canberra","Minister - Official Business","1","273.00","","273.00","29-Mar-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","30 Mar 16","Sydney","Minister - Official Business","1","438.00","","438.00","30-Mar-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Apr 16","3 Apr 16","Adelaide","Minister - Official Business","1","382.00","","382.00","03-Apr-2016",""
"Alan Tudge","Representative","Aston","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","11 Apr 16","Lovedale","Minister - Official Business","1","368.00","","368.00","11-Apr-2016",""
