"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","16 Feb 16","Swan Hill","Electorate Business","1","283.00","","283.00","16-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","1 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","28-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Mar 16","3 Mar 16","Horsham","Electorate Business","2","283.00","","566.00","02-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Mar 16","6 Mar 16","Swan Hill","Electorate Business","1","283.00","","283.00","06-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","7 Mar 16","Kerang","Electorate Business","1","258.00","","258.00","07-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Mar 16","18 Mar 16","Horsham","Electorate Business","1","283.00","","283.00","18-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Apr 16","14 Apr 16","Stawell","Electorate Business","1","258.00","","258.00","14-Apr-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 Apr 16","24 Apr 16","Swan Hill","Electorate Business","1","283.00","","283.00","24-Apr-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","27 Apr 16","Horsham","Electorate Business","1","283.00","","283.00","27-Apr-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 May 16","13 May 16","Stawell","Electorate Business","1","258.00","","258.00","13-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 May 16","23 May 16","Warracknabeal","Electorate Business","1","258.00","","258.00","23-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 May 16","24 May 16","Nhill","Electorate Business","1","258.00","","258.00","24-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 May 16","25 May 16","Swan Hill","Electorate Business","1","283.00","","283.00","25-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Jun 16","2 Jun 16","Swan Hill","Electorate Business","1","283.00","","283.00","02-Jun-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Jun 16","7 Jun 16","Melbourne","Electorate Business","2","379.00","","758.00","06-Jun-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Jun 16","15 Jun 16","Horsham","Electorate Business","2","283.00","","566.00","14-Jun-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jun 16","19 Jun 16","Swan Hill","Electorate Business","1","283.00","","283.00","19-Jun-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Jun 16","21 Jun 16","Swan Hill","Electorate Business","1","283.00","","283.00","21-Jun-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Mildura to Sydney","","","","502.05","19-Jan-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Sydney to Melbourne","","","","603.66","28-Jan-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Melbourne to Mildura","","","","","28-Jan-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Mildura to Melbourne","","","","746.22","01-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Melbourne to Canberra","","","","","01-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Melbourne","","","","380.20","05-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Melbourne to Mildura","","","","","05-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Mildura to Melbourne","","","","746.22","07-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Melbourne to Canberra","","","","","07-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Melbourne","","","","217.51","12-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Mildura to Melbourne","","","","746.22","21-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","","21-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Melbourne","","","","409.90","25-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Mildura to Melbourne","","","","746.22","28-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Melbourne to Canberra","","","","","28-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 Mar 16 - Canberra to Melbourne","","","","686.29","02-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Mildura to Melbourne","","","","380.20","14-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Melbourne to Canberra","","","","","14-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Melbourne","","","","217.51","18-Mar-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Mildura to Melbourne","","","","701.94","17-Apr-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Melbourne to Canberra","","","","","17-Apr-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Canberra to Melbourne","","","","701.94","20-Apr-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Melbourne to Mildura","","","","","20-Apr-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Mildura to Melbourne","","","","701.94","01-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","","01-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Melbourne","","","","447.00","06-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Melbourne to Mildura","","","","","06-May-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Jun 16 - Mildura to Melbourne","","","","341.85","06-Jun-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","16 May 14 - Melbourne Airport to Mildura","","","","87.06","16-May-2014",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","15 Jun 14 - Mildura to Melbourne","","","","159.09","15-Jun-2014",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","27 Jun 14 - Melbourne to Mildura","","","","87.06","27-Jun-2014",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","18 Jul 14 - Melbourne to Mildura","","","","87.06","18-Jul-2014",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","18 Jul 14 - Melbourne to Mildura","","","","87.06","18-Jul-2014",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","24 Aug 14 - Mildura to Melbourne","","","","159.09","24-Aug-2014",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","3 Oct 14 - Melbourne to Mildura","","","","87.06","03-Oct-2014",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","5 Dec 14 - Melbourne to Mildura","","","","87.06","05-Dec-2014",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Charter","Electorate","From 1 January 2016","","","","Mildura to Horsham 12 Feb 16","","","","1,259.09","12-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Charter","Electorate","From 1 January 2016","","","","Horsham to Mildura 12 Feb 16","","","","","12-Feb-2016",""
"Andrew Broad","Representative","Mallee","Victoria","The Nationals","Charter","Electorate","From 1 January 2016","","","","Mildura to Donald 26 Feb 16","","","","1,131.82","26-Feb-2016",""
