"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","4 Mar 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","28-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Apr 16","7 Apr 16","Brisbane","Infrastructure, Transport and Cities","1","408.00","","408.00","07-Apr-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","18-Apr-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Jan 16 - Melbourne to Brisbane","","","","361.72","18-Jan-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Jan 16 - Brisbane to Rockhampton","","","","","18-Jan-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Rockhampton to Brisbane","","","","361.72","19-Jan-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Brisbane to Melbourne","","","","","19-Jan-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Melbourne to Newcastle","","","","554.55","27-Jan-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Newcastle to Melbourne","","","","","27-Jan-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Melbourne to Canberra","","","","158.01","01-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Melbourne","","","","337.01","04-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Melbourne to Canberra","","","","409.90","07-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Melbourne","","","","409.90","11-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Melbourne to Darwin","","","","836.87","12-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Feb 16 - Darwin to Melbourne","","","","836.87","13-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","409.90","21-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Melbourne","","","","409.90","25-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Melbourne to Canberra","","","","409.90","28-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Melbourne","","","","409.90","04-Mar-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Melbourne to Canberra","","","","409.90","14-Mar-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Melbourne","","","","283.92","18-Mar-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Melbourne","","","","217.51","18-Mar-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Apr 16 - Melbourne to Sydney","","","","446.15","07-Apr-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Apr 16 - Sydney to Brisbane","","","","452.97","07-Apr-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Brisbane to Melbourne","","","","197.65","08-Apr-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Apr 16 - Melbourne to Canberra","","","","135.61","18-Apr-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Canberra to Melbourne","","","","135.61","20-Apr-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","135.61","01-May-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Melbourne","","","","409.90","06-May-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 May 16 - Melbourne to Brisbane","","","","211.84","29-May-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 May 16 - Brisbane to Melbourne","","","","211.84","30-May-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Jun 16 - Melbourne to Sydney","","","","446.15","17-Jun-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Jun 16 - Sydney to Melbourne","","","","446.15","18-Jun-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 Jan to 7 Feb 16","","","","998.34","07-Feb-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Infringement notice fee 25 Jan 16","","","","15.00","25-Jan-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Reimbursement of infringement notice fee 25 Jan 16","","","","-15.00","25-Jan-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 Feb to 7 Mar 16","","","","998.34","07-Mar-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 Mar to 7 Apr 16","","","","998.34","07-Apr-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Infringement notice fee 30 Mar 16","","","","15.00","30-Mar-2016",""
"Andrew Giles","Representative","Scullin","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 Apr to 7 May 16","","","","998.34","07-May-2016",""
