"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","2","273.00","","546.00","02-Feb-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","Hervey Bay","Electorate Business","1","308.00","","308.00","15-Feb-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","22-Feb-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Mar 16","26 Mar 16","Lismore","Electorate Business","1","258.00","","258.00","26-Mar-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Apr 16","16 Apr 16","Stradbroke Island","Electorate Business","1","258.00","","258.00","16-Apr-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Apr 16","25 Apr 16","Melbourne","Education and Employment - Reps","1","379.00","","379.00","25-Apr-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Apr 16","26 Apr 16","Sydney","Education and Employment - Reps","1","133.00","","133.00","26-Apr-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Jan 16 - Brisbane to Sydney","","","","698.67","11-Jan-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Jan 16 - Sydney to Brisbane","","","","698.67","12-Jan-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Jan 16 - Brisbane to Melbourne","","","","991.59","15-Jan-2016",""
"Andrew Laming","Representative","Bowman","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Jan 16 - Melbourne to Brisbane","","","","1,060.29","17-Jan-2016",""
