"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Sydney","Shadow Minister - Official Business","1","133.00","","133.00","28-Jan-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","16 Feb 16","Sydney","Shadow Minister - Official Business","1","133.00","","133.00","16-Feb-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","3 Mar 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","03-Mar-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","09-Mar-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","30 Mar 16","Brisbane","Shadow Minister - Official Business","1","408.00","","408.00","30-Mar-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Apr 16","3 Apr 16","Brisbane","Shadow Minister - Official Business","1","408.00","","408.00","03-Apr-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Gladstone","Shadow Minister - Official Business","1","338.00","","338.00","04-Apr-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","11 Apr 16","Adelaide","Shadow Minister - Official Business","1","359.00","","359.00","11-Apr-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 May 16","6 May 16","Perth","Shadow Minister - Official Business","1","137.00","","137.00","06-May-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 May 16","12 May 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","12-May-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 May 16","15 May 16","Brisbane","Shadow Minister - Official Business","1","408.00","","408.00","15-May-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 May 16","16 May 16","Maleny","Shadow Minister - Official Business","1","258.00","","258.00","16-May-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 May 16","18 May 16","Bendigo","Shadow Minister - Official Business","1","283.00","","283.00","18-May-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 May 16","19 May 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","19-May-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 May 16","23 May 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","23-May-2016",""
"Andrew Leigh","Representative","Fenner","Australian Capital Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 May 16","31 May 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","31-May-2016",""
