"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Sydney","Health - Reps","1","397.00","","397.00","18-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Melbourne","Public Works","1","379.00","","379.00","04-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Apr 16","16 Apr 16","Sydney","Electorate Business","1","397.00","","397.00","16-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Adelaide to Canberra","","","","834.00","31-Jan-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Adelaide","","","","834.00","11-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Feb 16 - Adelaide to Sydney","","","","845.59","18-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Feb 16 - Sydney to Adelaide","","","","938.95","19-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Adelaide to Canberra","","","","834.00","21-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Adelaide","","","","834.00","25-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Adelaide to Canberra","","","","834.00","28-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Adelaide","","","","769.46","03-Mar-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Adelaide to Canberra","","","","769.46","14-Mar-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Adelaide","","","","485.00","18-Mar-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Apr 16 - Adelaide to Melbourne","","","","774.58","04-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Melbourne to Adelaide","","","","774.58","05-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Apr 16 - Adelaide to Sydney","","","","938.95","16-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Sydney to Canberra","","","","328.20","17-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Canberra to Adelaide","","","","834.00","19-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Adelaide to Canberra","","","","858.05","01-May-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Adelaide","","","","858.05","06-May-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 10 Jan to 31 Jan 16","","","","127.13","31-Jan-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 14 Jan to 13 Feb 16","","","","998.74","13-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 14 Feb to 13 Mar 16","","","","998.74","13-Mar-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 17 Feb to 22 Feb 16","","","","57.43","22-Feb-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 1 Mar to 22 Mar 16","","","","188.95","22-Mar-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 14 Mar to 13 Apr 16","","","","998.74","13-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Infringement notice fee 29 Mar 16","","","","15.00","29-Mar-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Reimbursement of infringement notice fee 29 Mar 16","","","","-15.00","29-Mar-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 1 Apr to 11 Apr 16","","","","110.76","11-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 14 Apr to 13 May 16","","","","998.74","13-May-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 23 Apr to 30 Apr 16","","","","72.24","30-Apr-2016",""
"Andrew Southcott","Representative","Boothby","South Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 5 May to 7 May 16","","","","58.39","07-May-2016",""
