"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Jan 16","12 Jan 16","Mooloolaba","Assistant Minister - Official Business","1","368.00","","368.00","12-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Jan 16","13 Jan 16","Hervey Bay","Assistant Minister - Official Business","1","368.00","","368.00","13-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Jan 16","14 Jan 16","Rockhampton","Assistant Minister - Official Business","1","368.00","","368.00","14-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Jan 16","15 Jan 16","Mackay","Assistant Minister - Official Business","1","368.00","10.00","378.00","15-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Jan 16","17 Jan 16","Townsville","Assistant Minister - Official Business","2","368.00","20.00","756.00","16-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Jan 16","18 Jan 16","Cairns","Assistant Minister - Official Business","1","368.00","10.00","378.00","18-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","20 Jan 16","Darwin","Assistant Minister - Official Business","2","460.00","","920.00","19-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Melbourne","Assistant Minister - Official Business","1","438.00","","438.00","28-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","9 Feb 16","Canberra","Senate Estimates","3","273.00","","819.00","07-Feb-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","16 Feb 16","Adelaide","Assistant Minister - Official Business","2","128.00","","256.00","15-Feb-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","18 Feb 16","Melbourne","Assistant Minister - Official Business","2","438.00","","876.00","17-Feb-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Feb 16","27 Feb 16","Wagga Wagga","Parliamentary Political Party Meeting","1","368.00","","368.00","27-Feb-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","4 Mar 16","Thursday Island","Assistant Minister - Official Business","2","373.00","","746.00","03-Mar-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","8 Mar 16","Adelaide","Electorate Business","2","128.00","","256.00","07-Mar-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","10 Mar 16","Canberra","Assistant Minister - Official Business","2","273.00","","546.00","09-Mar-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","18 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","14-Mar-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Mar 16","19 Mar 16","Sydney","Assistant Minister - Official Business","1","438.00","","438.00","19-Mar-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","21 Mar 16","Melbourne","Assistant Minister - Official Business","1","438.00","","438.00","21-Mar-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Mar 16","22 Mar 16","Adelaide","Assistant Minister - Official Business","1","128.00","","128.00","22-Mar-2016",""
"Anne Ruston","Senator","","South Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Mar 16","23 Mar 16","Adelaide","Assistant Minister - Official Business","1","128.00","","128.00","23-Mar-2016",""
