"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","1","273.00","","273.00","18-Apr-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 May 16","5 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","02-May-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Brisbane to Canberra","","","","714.18","31-Jan-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Brisbane","","","","798.76","04-Feb-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Brisbane to Canberra","","","","416.35","07-Feb-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Sydney","","","","103.74","11-Feb-2016","",""
"Bernie Ripoll","Representative","Oxley","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Sydney to Brisbane","","","","698.67","12-Feb-2016","",""
