"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Mar 16","6 Mar 16","Sydney","Infrastructure, Transport and Cities","1","397.00","","397.00","06-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Apr 16","3 Apr 16","Sydney","Corporations and Financial Services","1","397.00","","397.00","03-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Brisbane to Canberra","","","","798.76","01-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Brisbane","","","","798.76","04-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Brisbane to Canberra","","","","714.18","07-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Brisbane","","","","714.18","12-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Feb 16 - Brisbane to Canberra","","","","714.18","20-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Brisbane","","","","798.76","25-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Brisbane to Canberra","","","","469.90","28-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Brisbane","","","","469.90","03-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Mar 16 - Brisbane to Sydney","","","","698.67","06-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Sydney to Brisbane","","","","698.67","07-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Brisbane to Canberra","","","","714.18","14-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Brisbane","","","","798.76","18-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Apr 16 - Brisbane to Sydney","","","","698.67","03-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Apr 16 - Sydney to Brisbane","","","","698.67","04-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Apr 16 - Brisbane to Melbourne","","","","991.59","07-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Melbourne to Brisbane","","","","991.59","08-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Brisbane to Canberra","","","","714.18","17-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Canberra to Brisbane","","","","798.76","19-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Brisbane to Canberra","","","","714.18","01-May-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Brisbane","","","","714.18","06-May-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","26 Nov 15 - Canberra to Brisbane","","","","763.74","26-Nov-2015",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","4 Dec 15 - Canberra to Brisbane","","","","763.74","04-Dec-2015",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 2 Jan to 24 Jan 16","","","","247.14","24-Jan-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 20 Jan to 19 Feb 16","","","","","19-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","","","","","1,355.54","01-Jan-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 30 Jan to 28 Feb 16","","","","","28-Feb-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","","","","","262.32","01-Jan-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 20 Feb to 19 Mar 16","","","","1,355.54","19-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 4 Mar to 25 Mar 16","","","","","25-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","","","","","351.04","01-Jan-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Registration 14 Mar 16","","","","","14-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","","","","","308.90","01-Jan-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Registration 14 Mar 16","","","","141.45","14-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Refund of registration 14 Mar 16","","","","","14-Mar-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","","","","","-422.27","01-Jan-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 20 Mar to 19 Apr 16","","","","1,355.54","19-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease adj 20 Mar to 19 Apr 16","","","","","19-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","","","","","-1,355.54","01-Jan-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 20 Mar to 19 Apr 16","","","","","19-Apr-2016",""
"Bert van Manen","Representative","Forde","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","","","","","569.04","01-Jan-2016",""
