"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","02-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","22-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Apr 16","14 Apr 16","Fremantle","Electorate Business","1","258.00","","258.00","14-Apr-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 Apr 16","24 Apr 16","Canberra","Electorate Business","1","273.00","","273.00","24-Apr-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Jan 16 - Sydney to Perth","","","","1,747.77","17-Jan-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Jan 16 - Perth to Sydney","","","","1,779.58","20-Jan-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 Feb 16 - Sydney to Canberra","","","","328.20","02-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Newcastle","","","","608.95","05-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Newcastle to Canberra","","","","","07-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Newcastle","","","","369.25","11-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Newcastle to Melbourne","","","","1,691.50","12-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Melbourne to Perth","","","","","12-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Feb 16 - Perth to Sydney","","","","1,779.58","17-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Feb 16 - Newcastle to Canberra","","","","738.51","22-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Newcastle","","","","","26-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Feb 16 - Newcastle to Canberra","","","","738.51","29-Feb-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Newcastle","","","","","03-Mar-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Sydney to Canberra","","","","328.20","14-Mar-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Newcastle","","","","30.54","18-Mar-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Newcastle","","","","369.25","18-Mar-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Apr 16 - Sydney to Perth","","","","1,779.58","14-Apr-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Apr 16 - Perth to Sydney","","","","1,779.58","15-Apr-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 Apr 16 - Sydney to Canberra","","","","526.99","24-Apr-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Apr 16 - Canberra to Sydney","","","","526.99","25-Apr-2016",""
"Bob Baldwin","Representative","Paterson","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Sydney to Canberra","","","","526.99","01-May-2016",""
