"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Jan 16","12 Jan 16","Innisfail","Electorate Business","1","283.00","","283.00","12-Jan-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Jan 16","18 Jan 16","Mission Beach","Electorate Business","1","258.00","","258.00","18-Jan-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","20 Jan 16","Innisfail","Electorate Business","2","283.00","","566.00","19-Jan-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Jan 16","21 Jan 16","Malanda","Electorate Business","1","258.00","","258.00","21-Jan-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Townsville","Electorate Business","1","283.00","","283.00","28-Jan-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Jan 16","29 Jan 16","Cairns","Electorate Business","1","291.00","","291.00","29-Jan-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","2","273.00","","546.00","02-Feb-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","Cairns","Electorate Business","1","291.00","","291.00","12-Feb-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","17 Feb 16","Mareeba","Electorate Business","2","258.00","","516.00","16-Feb-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","29 Feb 16","Canberra","Sittings of Parliament","1","273.00","","273.00","29-Feb-2016",""
"Bob Katter","Representative","Kennedy","Queensland","Katter's Australian Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","3 Mar 16","Canberra","Sittings of Parliament","1","273.00","","273.00","03-Mar-2016",""
