"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","31 Jan 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","31-Jan-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","9 Feb 16","Canberra","Senate Estimates","3","273.00","","819.00","07-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Feb 16","10 Feb 16","Melbourne","Electorate Business","1","379.00","","379.00","10-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Feb 16","11 Feb 16","Canberra","Legal and Constitutional Affairs","1","273.00","","273.00","11-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","17 Feb 16","Sydney","Electorate Business","1","397.00","","397.00","17-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Sydney","Legal and Constitutional Affairs","1","397.00","","397.00","18-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","29 Feb 16","Canberra","Sittings of Parliament","2","273.00","","546.00","28-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Mar 16","3 Mar 16","Canberra","Sittings of Parliament","2","273.00","","546.00","02-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","8 Mar 16","Darwin","Law Enforcement","2","438.00","","876.00","07-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Broome","Law Enforcement","1","411.00","","411.00","09-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Mar 16","10 Mar 16","Perth","Law Enforcement","1","411.00","","411.00","10-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","14-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Melbourne","Electorate Business","1","379.00","","379.00","04-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","20 Apr 16","Canberra","Community Affairs","1","273.00","","273.00","20-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Apr 16","22 Apr 16","Melbourne","Electorate Business","2","379.00","","758.00","21-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","6 May 16","Canberra","Senate Estimates","2","273.00","","546.00","05-May-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","240.52","01-Jan-1900","OS Delegation - Accommodation and meals",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","2,416.12","01-Jan-1900","OS Delegation - Fares",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","186.09","01-Jan-1900","OS Delegation - Ground transport",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","23.26","01-Jan-1900","OS Delegation - Related travel expenses",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","312.86","01-Jan-1900","OS Delegation - Travel advance",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Hobart to Melbourne","","","","725.86","31-Jan-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Melbourne to Canberra","","","","","31-Jan-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Melbourne","","","","725.86","05-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Melbourne to Hobart","","","","","05-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Feb 16 - Hobart to Sydney","","","","744.17","06-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Feb 16 - Sydney to Canberra","","","","","06-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Feb 16 - Canberra to Melbourne","","","","135.61","10-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Melbourne to Canberra","","","","135.61","11-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Melbourne","","","","725.86","12-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Melbourne to Hobart","","","","","12-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Feb 16 - Hobart to Sydney","","","","444.89","17-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Feb 16 - Sydney to Melbourne","","","","780.35","19-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Feb 16 - Melbourne to Hobart","","","","","19-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Hobart to Melbourne","","","","749.98","21-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","","21-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Melbourne","","","","725.86","26-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Melbourne to Hobart","","","","","26-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Hobart to Melbourne","","","","725.86","28-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Melbourne to Canberra","","","","","28-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Mar 16 - Canberra to Melbourne","","","","725.86","01-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Mar 16 - Melbourne to Hobart","","","","","01-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 Mar 16 - Hobart to Sydney","","","","798.77","02-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 Mar 16 - Sydney to Canberra","","","","","02-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Melbourne","","","","725.86","04-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Melbourne to Hobart","","","","","04-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Hobart to Melbourne","","","","2,026.91","07-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Melbourne to Brisbane","","","","","07-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Brisbane to Darwin","","","","","07-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Darwin to Broome","","","","679.90","09-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Broome to Perth","","","","699.53","10-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Mar 16 - Perth to Canberra","","","","1,624.54","11-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Mar 16 - Canberra to Melbourne","","","","831.88","17-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Mar 16 - Melbourne to Hobart","","","","","17-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Apr 16 - Hobart to Melbourne","","","","634.18","04-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Melbourne to Hobart","","","","634.18","08-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Hobart to Melbourne","","","","725.86","17-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Melbourne to Canberra","","","","","17-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Apr 16 - Canberra to Melbourne","","","","725.86","21-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Apr 16 - Melbourne to Hobart","","","","","23-Apr-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Hobart to Melbourne","","","","730.68","01-May-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","","01-May-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 May 16 - Canberra to Melbourne","","","","730.68","08-May-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 May 16 - Melbourne to Hobart","","","","","08-May-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 2 Jan to 1 Feb 16","","","","1,022.13","01-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 10 Jan to 9 Feb 16","","","","1,002.11","09-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 31 Jan 16","","","","73.94","31-Jan-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 2 Feb to 1 Mar 16","","","","1,022.13","01-Mar-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 4 Feb to 25 Feb 16","","","","275.97","25-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","ACT B Class parking permit 8 Feb 16","","","","45.50","08-Feb-2016","",""
"Catryna Bilyk","Senator","","Tasmania","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 8 Feb 16","","","","68.51","08-Feb-2016","",""
