"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Feb 16","14 Feb 16","Melbourne","Economics - Sen","1","379.00","","379.00","14-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","Sydney","Corporations and Financial Services","1","397.00","","397.00","15-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Canberra","Economics - Sen","1","273.00","","273.00","18-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Mar 16","22 Mar 16","Gladstone","Electorate Business","1","338.00","","338.00","22-Mar-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","20 Apr 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","17-Apr-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Apr 16","21 Apr 16","Sydney","Economics - Sen","1","397.00","","397.00","21-Apr-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","27 Apr 16","Sydney","Economics - Sen","1","397.00","","397.00","27-Apr-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Jun 16","6 Jun 16","Bundaberg","Electorate Business","1","283.00","","283.00","06-Jun-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Brisbane to Canberra","","","","714.18","01-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Brisbane","","","","798.76","05-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Brisbane to Canberra","","","","714.18","07-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Sydney","","","","598.39","12-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Sydney to Brisbane","","","","781.48","12-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Feb 16 - Brisbane to Melbourne","","","","991.59","14-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Feb 16 - Melbourne to Sydney","","","","780.82","15-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Feb 16 - Sydney to Brisbane","","","","698.67","16-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Feb 16 - Brisbane to Canberra","","","","469.90","18-Feb-2016","",""
"Chris Ketter","Senator","","Queensland","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Feb 16 - Canberra to Brisbane","","","","714.18","19-Feb-2016","",""
