"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Feb 16","2 Feb 16","Canberra","Sittings of Parliament","1","273.00","","273.00","02-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","14 Mar 16","Canberra","Sittings of Parliament","1","273.00","","273.00","14-Mar-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","1","273.00","","273.00","18-Apr-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 May 16","4 May 16","Canberra","Sittings of Parliament","2","273.00","","546.00","03-May-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 Feb 16 - Brisbane to Canberra","","","","714.18","02-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Feb 16 - Canberra to Brisbane","","","","714.18","03-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Feb 16 - Brisbane to Canberra","","","","798.76","06-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Feb 16 - Canberra to Brisbane","","","","798.76","08-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Feb 16 - Brisbane to Canberra","","","","714.18","10-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Feb 16 - Canberra to Coolangatta","","","","588.25","10-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Brisbane to Canberra","","","","798.76","25-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Brisbane","","","","714.18","25-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Coolangatta to Canberra","","","","588.25","14-Mar-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Mar 16 - Canberra to Brisbane","","","","714.18","15-Mar-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Apr 16 - Brisbane to Canberra","","","","714.18","18-Apr-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Canberra to Brisbane","","","","714.18","19-Apr-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 May 16 - Brisbane to Canberra","","","","798.76","03-May-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 May 16 - Canberra to Brisbane","","","","714.18","05-May-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Car Costs","COMCAR","From 1 January 2016","","","","6 Feb 16 - Canberra","","","","118.50","06-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Car Costs","COMCAR","From 1 January 2016","","","","6 Feb 16 - Canberra","","","","103.60","06-Feb-2016",""
"Clive Palmer","Representative","Fairfax","Queensland","Palmer United Party","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","167.90","07-Feb-2016",""
