"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","Sydney","Electorate Business","1","397.00","","397.00","12-Feb-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","14-Mar-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Apr 16","28 Apr 16","Coffin Bay","Electorate Business","4","86.00","","344.00","25-Apr-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 May 16","6 May 16","Canberra","Senate Estimates","1","273.00","","273.00","06-May-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 May 16","7 May 16","Canberra","Electorate Business","1","273.00","","273.00","07-May-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 May 16","14 May 16","Renmark","Electorate Business","1","283.00","","283.00","14-May-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 May 16","26 May 16","Sydney","Electorate Business","1","397.00","","397.00","26-May-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Jun 16","5 Jun 16","Port Augusta","Electorate Business","1","283.00","","283.00","05-Jun-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Jun 16","6 Jun 16","Whyalla","Electorate Business","1","307.00","","307.00","06-Jun-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Jun 16","8 Jun 16","Port Lincoln","Electorate Business","2","283.00","","566.00","07-Jun-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Jun 16","15 Jun 16","Mount Gambier","Electorate Business","1","283.00","","283.00","15-Jun-2016","",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","7,852.87","01-Jan-2016","OS Delegation - Fares",""
"Cory Bernardi","Senator","","South Australia","Australian Conservatives","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Adelaide to Melbourne","","","","842.44","01-Feb-2016","",""
