"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Jan 16","27 Jan 16","Melbourne","Assistant Minister - Official Business","2","438.00","","876.00","26-Jan-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Feb 16","5 Feb 16","Traralgon","Electorate Business","-1","368.00","","-368.00*","05-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Feb 16","5 Feb 16","Traralgon","Electorate Business","1","368.00","","368.00","05-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Feb 16","25 Feb 16","Sydney","Minister - Official Business","1","438.00","","438.00","25-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Mar 16","5 Mar 16","Traralgon","Electorate Business","1","368.00","","368.00","05-Mar-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","7 Mar 16","Adelaide","Minister - Official Business","1","382.00","","382.00","07-Mar-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Darwin","Minister - Official Business","1","460.00","","460.00","08-Mar-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Mar 16","10 Mar 16","Sale","Electorate Business","1","283.00","","283.00","10-Mar-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","22 Mar 16","Sydney","Minister - Official Business","2","438.00","","876.00","21-Mar-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Mar 16","23 Mar 16","Sale","Electorate Business","1","283.00","","283.00","23-Mar-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Mar 16","30 Mar 16","Melbourne","Minister - Official Business","2","438.00","","876.00","29-Mar-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","5 Apr 16","Sydney","Minister - Official Business","2","438.00","","876.00","04-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Apr 16","7 Apr 16","Perth","Minister - Official Business","1","472.00","10.00","482.00","07-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","12 Apr 16","Perth","Minister - Official Business","2","472.00","10.00","954.00","11-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Apr 16","13 Apr 16","Lismore","Minister - Official Business","1","368.00","","368.00","13-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Apr 16","14 Apr 16","Toowoomba","Minister - Official Business","1","368.00","","368.00","14-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Apr 16","26 Apr 16","Canberra","Minister - Official Business","1","273.00","","273.00","26-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","27 Apr 16","Melbourne","Minister - Official Business","1","438.00","","438.00","27-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Apr 16","28 Apr 16","Horsham","Minister - Official Business","1","368.00","","368.00","28-Apr-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 May 16","8 May 16","Rockhampton","Minister - Official Business","1","368.00","","368.00","08-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 May 16","9 May 16","Townsville","Minister - Official Business","1","368.00","","368.00","09-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 May 16","11 May 16","Shepparton","Minister - Official Business","1","368.00","","368.00","11-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 May 16","17 May 16","Cairns","Minister - Official Business","1","368.00","","368.00","17-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 May 16","23 May 16","Hervey Bay","Minister - Official Business","1","368.00","","368.00","23-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 May 16","24 May 16","Gladstone","Minister - Official Business","1","368.00","","368.00","24-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 May 16","28 May 16","Traralgon","Electorate Business","1","368.00","","368.00","28-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 May 16","29 May 16","Toowoomba","Minister - Official Business","1","368.00","","368.00","29-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 May 16","30 May 16","Narrabri","Minister - Official Business","1","368.00","","368.00","30-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 May 16","31 May 16","Brisbane","Minister - Official Business","1","430.00","","430.00","31-May-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Jun 16","1 Jun 16","Ballarat","Minister - Official Business","1","368.00","","368.00","01-Jun-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Jun 16","2 Jun 16","Shepparton","Minister - Official Business","1","368.00","","368.00","02-Jun-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Jun 16","4 Jun 16","Traralgon","Electorate Business","1","368.00","","368.00","04-Jun-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Jun 16","5 Jun 16","Launceston","Minister - Official Business","1","368.00","","368.00","05-Jun-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Jun 16","6 Jun 16","Melbourne","Minister - Official Business","1","438.00","","438.00","06-Jun-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Jun 16","7 Jun 16","Tweed Heads","Minister - Official Business","1","368.00","","368.00","07-Jun-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Jun 16","8 Jun 16","Melbourne","Minister - Official Business","1","438.00","","438.00","08-Jun-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Jun 16","21 Jun 16","Sale","Electorate Business","1","283.00","","283.00","21-Jun-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","*","","","","","","","","01-Jan-1900","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","Adjustment by Member.","Member initiated.","","","","","","01-Jan-1900","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","18 Dec 15","18 Dec 15","Sale","Electorate Business","1","368.00","","368.00","18-Dec-2015","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","20 Dec 15","21 Dec 15","Perth","Assistant Minister - Official Business","2","472.00","","944.00","20-Dec-2015","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","22 Dec 15","22 Dec 15","Traralgon","Electorate Business","1","368.00","","368.00","22-Dec-2015","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Feb 16 - Melbourne to Canberra","","","","686.29","15-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Sydney","","","","598.39","25-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Sydney to Brisbane","","","","781.48","26-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Brisbane to Sydney","","","","1,104.15","26-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Sydney to Canberra","","","","","26-Feb-2016","",""
"Darren Chester","Representative","Gippsland","Victoria","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Canberra to Adelaide","","","","834.00","07-Mar-2016","",""
