"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","9 Mar 16","Sydney","Shadow Minister - Official Business","3","397.00","","1,191.00","07-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","18 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","14-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","30 Mar 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","30-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Mar 16","31 Mar 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","31-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Apr 16","7 Apr 16","Canberra","Shadow Minister - Official Business","2","273.00","","546.00","06-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","21 Apr 16","Darwin","Shadow Minister - Official Business","2","438.00","","876.00","20-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 May 16","24 May 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","24-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 May 16","25 May 16","Canberra","Shadow Minister - Official Business","1","273.00","","273.00","25-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Melbourne to Canberra","","","","613.09","31-Jan-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Melbourne","","","","686.29","05-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Melbourne to Canberra","","","","613.09","07-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Melbourne","","","","686.29","12-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","686.29","21-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Melbourne","","","","686.29","26-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Melbourne to Canberra","","","","613.09","28-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Melbourne","","","","686.29","04-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Melbourne to Sydney","","","","224.26","07-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Sydney to Melbourne","","","","780.82","10-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Melbourne to Canberra","","","","686.29","14-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Mar 16 - Melbourne to Canberra","","","","686.29","23-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Mar 16 - Canberra to Melbourne","","","","686.29","23-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Mar 16 - Melbourne to Sydney","","","","780.82","30-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Mar 16 - Sydney to Canberra","","","","-281.98","31-Mar-2016","Refund"
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Apr 16 - Canberra to Melbourne","","","","686.29","01-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Apr 16 - Melbourne to Canberra","","","","686.29","06-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Canberra to Melbourne","","","","686.29","08-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Melbourne to Canberra","","","","686.29","17-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Canberra to Sydney","","","","1,795.48","20-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Sydney to Darwin","","","","","20-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Apr 16 - Darwin to Melbourne","","","","1,499.12","22-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Apr 16 - Melbourne to Canberra","","","","686.29","27-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Apr 16 - Canberra to Melbourne","","","","686.29","27-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","686.29","01-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Melbourne","","","","613.09","06-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 May 16 - Melbourne to Launceston","","","","377.47","21-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 May 16 - Launceston to Melbourne","","","","377.47","21-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 May 16 - Melbourne to Sydney","","","","780.82","24-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 May 16 - Sydney to Canberra","","","","598.39","25-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 May 16 - Canberra to Melbourne","","","","686.29","26-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Jun 16 - Melbourne to Sydney","","","","780.82","01-Jun-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 Jun 16 - Sydney to Melbourne","","","","780.82","02-Jun-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","9 Dec 15 - Sydney to Canberra","","","","158.34","09-Dec-2015",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","11 Dec 15 - Canberra to Melbourne","","","","654.68","11-Dec-2015",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 29 Jan to 24 Feb 16","","","","240.81","24-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 31 Jan to 28 Feb 16","","","","943.84","28-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 29 Feb to 30 Mar 16","","","","943.84","30-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 3 Mar to 28 Mar 16","","","","248.25","28-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 26 Mar to 25 Apr 16","","","","272.66","25-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Infringement notice fee 26 Mar 16","","","","15.00","26-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 31 Mar to 29 Apr 16","","","","943.84","29-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Infringement notice fee 5 Apr 16","","","","15.00","05-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Infringement notice fee 13 Apr 16","","","","15.00","13-Apr-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 30 Apr to 30 May 16","","","","943.84","30-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 8 May to 22 May 16","","","","194.18","22-May-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 31 May to 29 Jun 16","","","","943.84","29-Jun-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 2 Dec to 28 Dec 15","","","","408.07","28-Dec-2015",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Infringement notice fee 23 Dec 15","","","","15.00","23-Dec-2015",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 24 Dec 15 to 24 Jan 16","","","","378.01","24-Dec-2015",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Lease 31 Dec 15 to 30 Jan 16","","","","943.84","31-Dec-2015",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","31 Jan 16 - Melbourne","","","","78.60","31-Jan-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","5 Feb 16 - Canberra","","","","40.00","05-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","5 Feb 16 - Melbourne","","","","52.67","05-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Melbourne","","","","80.80","07-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","12 Feb 16 - Canberra","","","","40.00","12-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","12 Feb 16 - Canberra","","","","40.00","12-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","12 Feb 16 - Melbourne","","","","52.67","12-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","21 Feb 16 - Melbourne","","","","78.60","21-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","26 Feb 16 - Canberra","","","","52.40","26-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","26 Feb 16 - Canberra","","","","40.00","26-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","26 Feb 16 - Canberra","","","","40.00","26-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","26 Feb 16 - Melbourne","","","","48.74","26-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","28 Feb 16 - Melbourne","","","","80.80","28-Feb-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","4 Mar 16 - Melbourne","","","","42.00","04-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","7 Mar 16 - Melbourne","","","","53.29","07-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","7 Mar 16 - Sydney","","","","49.70","07-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","8 Mar 16 - Sydney","","","","40.00","08-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","44.54","09-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","103.67","09-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","69.28","09-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","9 Mar 16 - Sydney","","","","41.92","09-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","10 Mar 16 - Sydney","","","","40.00","10-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","10 Mar 16 - Melbourne","","","","42.00","10-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","14 Mar 16 - Melbourne","","","","80.80","14-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","16 Mar 16 - Canberra","","","","40.00","16-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","17 Mar 16 - Canberra","","","","40.00","17-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","17 Mar 16 - Canberra","","","","40.00","17-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","19 Mar 16 - Canberra","","","","78.60","19-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","23 Mar 16 - Melbourne","","","","61.15","23-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","23 Mar 16 - Canberra","","","","41.80","23-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","23 Mar 16 - Canberra","","","","61.57","23-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","23 Mar 16 - Canberra","","","","47.16","23-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","23 Mar 16 - Canberra","","","","40.00","23-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","23 Mar 16 - Melbourne","","","","46.12","23-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","30 Mar 16 - Melbourne","","","","51.98","30-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","30 Mar 16 - Sydney","","","","86.13","30-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","30 Mar 16 - Sydney","","","","62.88","30-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","30 Mar 16 - Sydney","","","","166.37","30-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","30 Mar 16 - Sydney","","","","108.73","30-Mar-2016",""
"David Feeney","Representative","Batman","Victoria","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","31 Mar 16 - Sydney","","","","44.80","31-Mar-2016",""
