"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","5 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Senate Estimates","4","273.00","","1,092.00","07-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Sydney to Canberra","","","","103.74","01-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Sydney","","","","328.20","05-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Sydney to Canberra","","","","103.74","07-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Sydney","","","","158.34","11-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Sydney to Canberra","","","","103.74","21-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Sydney","","","","328.20","26-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Sydney to Canberra","","","","103.74","28-Feb-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Sydney","","","","103.74","04-Mar-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Sydney to Canberra","","","","328.20","14-Mar-2016",""
"David Leyonhjelm","Senator","","New South Wales","Liberal Democratic Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Sydney","","","","158.34","18-Mar-2016",""
