"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Jan 16","11 Jan 16","Geraldton","Electorate Business","1","326.00","","326.00","11-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Jan 16","17 Jan 16","Canberra","Electorate Business","1","273.00","","273.00","17-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Jan 16","18 Jan 16","Sydney","Electorate Business","1","397.00","","397.00","18-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","6 Feb 16","Canberra","Sittings of Parliament","7","273.00","","1,911.00","31-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Sydney","Economics - Sen","1","397.00","","397.00","09-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Mar 16","10 Mar 16","Sydney","Electorate Business","1","397.00","","397.00","10-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Mar 16","30 Mar 16","Broome","Electorate Business","3","411.00","","1,233.00","28-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Melbourne","Public Works","1","379.00","","379.00","04-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Apr 16","7 Apr 16","Augusta","Electorate Business","1","258.00","","258.00","07-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","16-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","21 Apr 16","Canberra","Economics - Sen","2","273.00","","546.00","20-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 Apr 16","24 Apr 16","Albany","Electorate Business","1","330.00","","330.00","24-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","5 May 16","Canberra","Senate Estimates","1","273.00","","273.00","05-May-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 May 16","27 May 16","Broome","Electorate Business","2","411.00","","822.00","26-May-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Jun 16","1 Jun 16","Southern Cross","Electorate Business","1","258.00","","258.00","01-Jun-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Jan 16 - Perth to Canberra","","","","618.67","17-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Jan 16 - Canberra to Sydney","","","","327.02","18-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Sydney to Perth","","","","696.40","19-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Perth to Canberra","","","","618.67","31-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Sydney to Canberra","","","","328.20","21-Feb-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Sydney","","","","1,638.37","26-Feb-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Sydney to Perth","","","","","26-Feb-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Perth to Canberra","","","","618.67","28-Feb-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Melbourne","","","","1,633.60","04-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Melbourne to Perth","","","","","04-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Perth to Sydney","","","","699.75","09-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Mar 16 - Sydney to Perth","","","","700.82","11-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Perth to Sydney","","","","1,639.44","14-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Sydney to Canberra","","","","","14-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Mar 16 - Perth to Broome","","","","699.53","28-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Mar 16 - Broome to Perth","","","","789.96","31-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Apr 16 - Perth to Melbourne","","","","1,703.41","03-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Melbourne to Perth","","","","1,726.36","05-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Apr 16 - Perth to Karratha","","","","599.48","10-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Apr 16 - Perth to Canberra","","","","1,624.54","16-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Apr 16 - Canberra to Sydney","","","","328.20","22-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Apr 16 - Sydney to Perth","","","","1,818.90","22-Apr-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Perth to Melbourne","","","","1,621.59","01-May-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","","01-May-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Perth","","","","1,624.54","06-May-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 May 16 - Perth to Broome","","","","331.04","26-May-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 May 16 - Broome to Perth","","","","791.69","28-May-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","13 Nov 15 - Perth to Geraldton","","","","148.03","13-Nov-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","13 Nov 15 - Perth to Geraldton","","","","145.45","13-Nov-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","10 Dec 15 - Sydney to Perth","","","","1,467.77","10-Dec-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","From 1 January 2016","","","","Broome to Noonkanbah 29 Mar 16","","","","1,745.45","29-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","From 1 January 2016","","","","Noonkanbah to Fitzroy Crossing 29 Mar 16","","","","","29-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","From 1 January 2016","","","","Fitzroy Crossing to Broome 29 Mar 16","","","","","29-Mar-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Perth to Busselton 31 Aug 15","","","","735.00","31-Aug-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Busselton to Albany 31 Aug 15","","","","","31-Aug-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Albany to Esperance 1 Sep 15","","","","","01-Sep-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Esperance to Narrogin 1 Sep 15","","","","","01-Sep-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Narrogin to Perth 1 Sep 15","","","","","01-Sep-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Albany 1 Sep 15","","","","80.00","01-Sep-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Perth to Albany 14 Nov 15","","","","-210.72","14-Nov-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Albany to Perth 14 Nov 15","","","","","14-Nov-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Perth to Albany 14 Nov 15","","","","-210.72","14-Nov-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Albany to Perth 14 Nov 15","","","","","14-Nov-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Perth to Albany 14 Nov 15","","","","-210.72","14-Nov-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Albany to Perth 14 Nov 15","","","","","14-Nov-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Charter","Electorate","Before 1 January 2016","","","","Albany 8 Dec 15","","","","93.64","08-Dec-2015","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 1 Jan to 31 Jan 16","","","","1,139.83","31-Jan-2016","",""
"Dean Smith","Senator","","Western Australia","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 11 Jan to 10 Feb 16","","","","1,108.94","10-Feb-2016","",""
