"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Jan 16","4 Jan 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","04-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Jan 16","5 Jan 16","Olympic Dam","Shadow Minister - Official Business","1","258.00","","258.00","05-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Jan 16","10 Feb 16","Canberra","Sittings of Parliament","12","273.00","","3,276.00","30-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","20-Feb-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","09-Mar-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Mar 16","20 Mar 16","Darwin","Shadow Minister - Official Business","1","438.00","","438.00","20-Mar-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","21 Mar 16","Tennant Creek","Shadow Minister - Official Business","1","283.00","","283.00","21-Mar-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Mar 16","23 Mar 16","Mount Isa","Shadow Minister - Official Business","2","311.00","","622.00","22-Mar-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Apr 16","1 Apr 16","Adelaide","Shadow Minister - Official Business","1","359.00","","359.00","01-Apr-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","16-Apr-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","20 Apr 16","Adelaide","Shadow Minister - Official Business","1","359.00","","359.00","20-Apr-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","20 Dec 15","20 Dec 15","Adelaide","Shadow Minister - Official Business","1","359.00","","359.00","20-Dec-2015",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Jan 16 - Perth to Sydney","","","","1,891.83","04-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Jan 16 - Sydney to Adelaide","","","","904.02","05-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Jan 16 - Adelaide to Olympic Dam","","","","419.24","05-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Jan 16 - Adelaide to Perth","","","","1,436.43","09-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Perth to Melbourne","","","","1,018.03","29-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Melbourne to Canberra","","","","645.32","29-Jan-2016",""
"Gary Gray","Representative","Brand","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Perth","","","","1,623.59","11-Feb-2016",""
