"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","19 Jan 16","Lakes Entrance","Electorate Business","1","368.00","","368.00","19-Jan-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Senate Estimates","4","273.00","","1,092.00","07-Feb-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Mar 16","29 Mar 16","Morwell","Electorate Business","1","258.00","","258.00","29-Mar-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Mar 16","31 Mar 16","Wollongong","Economics - Sen","1","123.00","","123.00","31-Mar-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","3 May 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-May-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 May 16","5 May 16","Canberra","Senate Estimates","2","273.00","","546.00","04-May-2016","",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","2,732.27","01-Jan-1900","OS Official - Accommodation and meals",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","17,655.68","01-Jan-1900","OS Official - Fares",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","441.00","01-Jan-1900","OS Official - Minor official expense advance",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","40.00","01-Jan-1900","OS Official - Passport costs",""
"Gavin Marshall","Senator","","Victoria","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","307.34","01-Jan-1900","OS Official - Travel advance",""
