"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Feb 16","25 Feb 16","Brisbane","Sittings of Parliament","1","408.00","","408.00","25-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","3 Mar 16","Brisbane","Sittings of Parliament","1","408.00","","408.00","03-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Mar 16","12 Mar 16","Townsville","Electorate Business","1","283.00","","283.00","12-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","13-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","5 Apr 16","Cluden","Electorate Business","1","258.00","","258.00","05-Apr-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Apr 16","7 Apr 16","Bowen","Electorate Business","1","258.00","","258.00","07-Apr-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Apr 16","8 Apr 16","Cluden","Electorate Business","1","258.00","","258.00","08-Apr-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 May 16","10 May 16","Ayr","Electorate Business","1","283.00","","283.00","10-May-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 May 16","14 May 16","Proserpine","Electorate Business","1","258.00","","258.00","14-May-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 May 16","16 May 16","Bowen","Electorate Business","1","258.00","","258.00","16-May-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 May 16","17 May 16","Cluden","Electorate Business","1","258.00","","258.00","17-May-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 May 16","22 May 16","Ayr","Electorate Business","1","283.00","","283.00","22-May-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 May 16","31 May 16","Ayr","Electorate Business","1","283.00","","283.00","31-May-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Jun 16","3 Jun 16","Airlie Beach","Electorate Business","1","258.00","","258.00","03-Jun-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Jun 16","5 Jun 16","Cluden","Electorate Business","1","258.00","","258.00","05-Jun-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Mackay to Brisbane","","","","977.70","31-Jan-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Brisbane to Canberra","","","","","31-Jan-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Melbourne","","","","613.09","05-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Melbourne to Canberra","","","","135.61","07-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Brisbane","","","","1,214.23","12-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Brisbane to Mackay","","","","","12-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Mackay to Brisbane","","","","755.03","21-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Brisbane to Canberra","","","","","21-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Brisbane","","","","798.76","25-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Brisbane to Mackay","","","","578.37","26-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Mackay to Brisbane","","","","578.37","28-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Brisbane to Canberra","","","","469.90","28-Feb-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Brisbane","","","","469.90","03-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Brisbane to Mackay","","","","578.37","04-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Mackay to Brisbane","","","","977.70","09-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Brisbane to Canberra","","","","","09-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Canberra to Brisbane","","","","977.70","09-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Brisbane to Mackay","","","","","09-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Mar 16 - Townsville to Brisbane","","","","1,076.27","13-Mar-2016","",""
"George Christensen","Representative","Dawson","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Mar 16 - Brisbane to Canberra","","","","","13-Mar-2016","",""
