"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Jan 16","5 Feb 16","Canberra","Sittings of Parliament","7","273.00","","1,911.00","30-Jan-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","9 Feb 16","Canberra","Senate Estimates","4","273.00","","1,092.00","06-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","16 Feb 16","Dalby","Chair Parl Committee on Committee","1","295.00","","295.00","16-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","20-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Feb 16","26 Feb 16","Tamworth","Electorate Business","1","283.00","","283.00","26-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","27-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Mar 16","7 Mar 16","Townsville","Electorate Business","3","283.00","","849.00","05-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","9 Mar 16","Cairns","Electorate Business","2","291.00","","582.00","08-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","18 Mar 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","13-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","5 Apr 16","Canberra","Electorate Business","1","273.00","","273.00","05-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","11 Apr 16","Darwin","Chair Parl Committee on Committee","1","438.00","","438.00","11-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Apr 16","16 Apr 16","Sydney","Sittings of Parliament","1","397.00","","397.00","16-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","21 Apr 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","17-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","5 May 16","Kempsey","Sittings of Parliament","1","258.00","","258.00","05-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 May 16","12 May 16","Maryborough","Electorate Business","1","258.00","","258.00","12-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 May 16","24 May 16","Emerald","Electorate Business","1","307.00","","307.00","24-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 May 16","25 May 16","Gladstone","Electorate Business","1","338.00","","338.00","25-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 May 16","27 May 16","Caloundra","Electorate Business","1","258.00","","258.00","27-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 May 16","1 Jun 16","Mackay","Electorate Business","2","312.00","","624.00","31-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Jun 16","2 Jun 16","Rockhampton","Electorate Business","1","283.00","","283.00","02-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Jan 16 - Brisbane to Canberra","","","","798.76","30-Jan-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Feb 16 - Canberra to Brisbane","","","","714.18","10-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Feb 16 - Brisbane to Sydney","","","","781.48","18-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Feb 16 - Sydney to Brisbane","","","","781.48","18-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Feb 16 - Brisbane to Canberra","","","","798.76","20-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Sydney","","","","655.59","26-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Sydney to Tamworth","","","","","26-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Feb 16 - Tamworth to Sydney","","","","655.59","27-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Feb 16 - Sydney to Canberra","","","","","27-Feb-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Sydney","","","","645.37","04-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Sydney to Coolangatta","","","","","04-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Mar 16 - Brisbane to Townsville","","","","763.49","05-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Mar 16 - Townsville to Cairns","","","","339.92","08-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Cairns to Brisbane","","","","611.67","10-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Mar 16 - Brisbane to Canberra","","","","714.18","13-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Mar 16 - Canberra to Brisbane","","","","714.18","19-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Mar 16 - Brisbane to Cairns","","","","611.67","22-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Mar 16 - Cairns to Brisbane","","","","611.67","22-Mar-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Brisbane to Canberra","","","","714.18","05-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Apr 16 - Canberra to Brisbane","","","","714.18","06-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Apr 16 - Brisbane to Darwin","","","","1,465.23","11-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Apr 16 - Darwin to Brisbane","","","","1,465.23","12-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Apr 16 - Brisbane to Sydney","","","","226.36","16-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Sydney to Canberra","","","","328.20","17-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Apr 16 - Canberra to Brisbane","","","","714.18","22-Apr-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Brisbane to Canberra","","","","798.76","01-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 May 16 - Brisbane to Emerald","","","","474.88","24-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 May 16 - Brisbane to Townsville","","","","763.49","31-May-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Jun 16 - Brisbane to Townsville","","","","271.82","11-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Jun 16 - Townsville to Brisbane","","","","763.49","12-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Jun 16 - Brisbane to Townsville","","","","849.51","16-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Jun 16 - Townsville to Brisbane","","","","849.51","16-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Jun 16 - Brisbane to Mackay","","","","578.37","23-Jun-2016",""
"Glenn Lazarus","Senator","","Queensland","Palmer United Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Jun 16 - Mackay to Brisbane","","","","578.37","23-Jun-2016",""
