"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","7 Mar 16","Cairns","Indigenous Affairs","1","291.00","","291.00","07-Mar-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Thursday Island","Indigenous Affairs","1","351.00","","351.00","08-Mar-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","2","273.00","","546.00","15-Mar-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","22 Mar 16","Sydney","Indigenous Affairs","2","133.00","","266.00","21-Mar-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 May 16","5 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","02-May-2016","",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","240.52","01-Jan-2016","OS Delegation - Accommodation and meals",""
"Graham Perrett","Representative","Moreton","Queensland","Australian Labor Party","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","430.00","01-Jan-2016","OS Delegation - Equipment allowance",""
