"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Jan 16","19 Jan 16","Sydney","Minister - Official Business","2","438.00","","876.00","18-Jan-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Jan 16","22 Jan 16","Melbourne","Minister - Official Business","2","438.00","","876.00","21-Jan-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Canberra","Minister - Official Business","1","273.00","","273.00","27-Jan-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","31 Jan 16","Melbourne","Minister - Official Business","1","438.00","","438.00","31-Jan-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","02-Feb-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","7 Feb 16","Canberra","Sittings of Parliament","1","273.00","","273.00","07-Feb-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","Sydney","Minister - Official Business","1","438.00","","438.00","15-Feb-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","16 Feb 16","Brisbane","Minister - Official Business","1","430.00","","430.00","16-Feb-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","28 Feb 16","Sydney","Minister - Official Business","1","438.00","","438.00","28-Feb-2016","",""
"Greg Hunt","Representative","Flinders","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016","",""
