"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","19 Jan 16","Sydney","Shadow Parliamentary Secretary - Official","1","397.00","","397.00","19-Jan-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","6 Feb 16","Hobart","Electorate Business","1","327.00","","327.00","06-Feb-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Feb 16","12 Feb 16","Canberra","Senate Estimates","4","273.00","","1,092.00","09-Feb-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","Canberra","Senate Estimates","-1","273.00","","-273.00*","12-Feb-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","21 Mar 16","Brisbane","Shadow Parliamentary Secretary - Official","1","408.00","","408.00","21-Mar-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Apr 16","14 Apr 16","Hobart","Electorate Business","2","327.00","","654.00","13-Apr-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","27 Apr 16","Melbourne","Shadow Parliamentary Secretary - Official","1","379.00","","379.00","27-Apr-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","5 May 16","Canberra","Senate Estimates","1","273.00","","273.00","05-May-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 May 16","12 May 16","Hobart","Electorate Business","1","327.00","","327.00","12-May-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 May 16","25 May 16","Melbourne","Shadow Parliamentary Secretary - Official","1","379.00","","379.00","25-May-2016",""
"Helen Polley","Senator","","Tasmania","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-1900",""
