"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","6 Feb 16","Canberra","Sittings of Parliament","7","273.00","","1,911.00","31-Jan-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","Canberra","Legal and Constitutional Affairs","1","273.00","","273.00","12-Feb-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","17 Feb 16","Sydney","Legal and Constitutional Affairs","1","397.00","","397.00","17-Feb-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Feb 16","27 Feb 16","Brisbane","Parliamentary Political Party Meeting","2","408.00","","816.00","26-Feb-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Mar 16","4 Mar 16","Canberra","Environment and Communications","1","273.00","","273.00","04-Mar-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Mar 16","5 Mar 16","Cairns","Electorate Business","1","291.00","","291.00","05-Mar-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Mar 16","6 Mar 16","Rockhampton","Electorate Business","1","283.00","","283.00","06-Mar-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","7 Mar 16","Brisbane","Electorate Business","1","408.00","","408.00","07-Mar-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Sydney","Trade and Investment Growth","1","397.00","","397.00","08-Mar-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","10 Mar 16","Melbourne","Trade and Investment Growth","2","379.00","","758.00","09-Mar-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Nerang","Electorate Business","1","258.00","","258.00","04-Apr-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","5 Apr 16","Brisbane","Electorate Business","1","408.00","","408.00","05-Apr-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Apr 16","6 Apr 16","Cairns","Electorate Business","1","291.00","","291.00","06-Apr-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Apr 16","7 Apr 16","Canberra","Northern Australia","1","273.00","","273.00","07-Apr-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Apr 16","11 Apr 16","Darwin","Electorate Business","2","438.00","","876.00","10-Apr-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Ian Macdonald","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Apr 16","21 Apr 16","Brisbane","Official Government or Vice-Regal Function","1","408.00","","408.00","21-Apr-2016",""
