"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","9 Feb 16","Canberra","Senate Estimates","3","273.00","","819.00","07-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Feb 16","11 Feb 16","Canberra","Legal and Constitutional Affairs","1","273.00","","273.00","11-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Sydney","Parliamentary Political Party Meeting","1","397.00","","397.00","09-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Mar 16","11 Mar 16","Sydney","Shadow Parliamentary Secretary - Official","2","397.00","","794.00","10-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Mar 16","29 Mar 16","Brisbane","Shadow Parliamentary Secretary - Official","1","408.00","","408.00","29-Mar-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","","","","Business","","","","","01-Jan-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","17 Apr 16","Canberra","Sittings of Parliament","1","273.00","","273.00","17-Apr-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","1","273.00","","273.00","19-Apr-2016","",""
"Jacinta Collins","Senator","","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","20 Apr 16","Canberra","Shadow Parliamentary Secretary - Official","1","273.00","","273.00","20-Apr-2016","",""
