"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Jan 16","15 Jan 16","St Helens","Electorate Business","1","258.00","","258.00","15-Jan-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Mar 16","23 Mar 16","Hobart","Electorate Business","1","327.00","","327.00","23-Mar-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Mar 16","31 Mar 16","Wollongong","Economics - Sen","1","287.00","","287.00","31-Mar-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Apr 16","1 Apr 16","Sydney","Economics - Sen","1","397.00","","397.00","01-Apr-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","8 Apr 16","Hobart","Electorate Business","5","327.00","","1,635.00","04-Apr-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","21 Apr 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","17-Apr-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","6 May 16","Mole Creek","Electorate Business","2","258.00","","516.00","05-May-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 May 16","14 May 16","Hobart","Electorate Business","2","327.00","","654.00","13-May-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 May 16","27 May 16","Launceston","Electorate Business","1","283.00","","283.00","27-May-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 May 16","28 May 16","New Norfolk","Electorate Business","1","258.00","","258.00","28-May-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 May 16","29 May 16","Hobart","Electorate Business","1","327.00","","327.00","29-May-2016",""
"Jacqui Lambie","Senator","","Tasmania","Jacqui Lambie Network","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Jun 16","8 Jun 16","New Norfolk","Electorate Business","1","258.00","","258.00","08-Jun-2016",""
