"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Jan 16","7 Jan 16","Sydney","Assistant Minister - Official Business","1","438.00","","438.00","07-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Jan 16","25 Jan 16","Canberra","Assistant Minister - Official Business","3","273.00","","819.00","23-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Brisbane","Electorate Business","1","430.00","","430.00","27-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","28-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Jan 16","29 Jan 16","Brisbane","Electorate Business","1","430.00","","430.00","29-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","St George","Electorate Business","1","368.00","","368.00","12-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Feb 16","13 Feb 16","Brisbane","Electorate Business","1","430.00","","430.00","13-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Feb 16","14 Feb 16","Townsville","Assistant Minister - Official Business","1","368.00","","368.00","14-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","Rockhampton","Assistant Minister - Official Business","1","368.00","","368.00","15-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","16 Feb 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","16-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","17 Feb 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","17-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Brisbane","Electorate Business","1","430.00","","430.00","18-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Feb 16","26 Feb 16","Brisbane","Parliamentary Political Party Meeting","1","430.00","","430.00","26-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Feb 16","27 Feb 16","Brisbane","Electorate Business","1","430.00","","430.00","27-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Mar 16","4 Mar 16","Townsville","Electorate Business","1","368.00","","368.00","04-Mar-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Mar 16","5 Mar 16","Cairns","Electorate Business","1","368.00","","368.00","05-Mar-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Mar 16","11 Mar 16","Brisbane","Electorate Business","1","430.00","","430.00","11-Mar-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Mar 16","12 Mar 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","12-Mar-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","18 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","14-Mar-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Mar 16","23 Mar 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","23-Mar-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","St George","Electorate Business","1","368.00","","368.00","04-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","5 Apr 16","Goondiwindi","Electorate Business","1","368.00","","368.00","05-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Apr 16","13 Apr 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","13-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Apr 16","14 Apr 16","Bowen","Assistant Minister - Official Business","1","368.00","","368.00","14-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Apr 16","16 Apr 16","Townsville","Parliamentary Political Party Meeting","2","368.00","","736.00","15-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","20 Apr 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","20-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Apr 16","21 Apr 16","Sydney","Assistant Minister - Official Business","1","438.00","","438.00","21-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Apr 16","23 Apr 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","23-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Apr 16","25 Apr 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","25-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Apr 16","30 Apr 16","Brisbane","Assistant Minister - Official Business","2","430.00","","860.00","29-Apr-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","6 May 16","Canberra","Senate Estimates","2","273.00","","546.00","05-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 May 16","11 May 16","Cairns","Assistant Minister - Official Business","1","368.00","","368.00","11-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 May 16","13 May 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","13-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 May 16","15 May 16","Gladstone","Assistant Minister - Official Business","1","368.00","","368.00","15-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 May 16","16 May 16","Rockhampton","Assistant Minister - Official Business","1","368.00","","368.00","16-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 May 16","17 May 16","Townsville","Assistant Minister - Official Business","1","368.00","","368.00","17-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 May 16","18 May 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","18-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 May 16","19 May 16","Cairns","Assistant Minister - Official Business","1","368.00","","368.00","19-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 May 16","25 May 16","Adelaide","Assistant Minister - Official Business","2","382.00","","764.00","24-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 May 16","26 May 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","26-May-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Jun 16","8 Jun 16","Toowoomba","Assistant Minister - Official Business","2","368.00","","736.00","07-Jun-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Jun 16","9 Jun 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","09-Jun-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Jun 16","15 Jun 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","15-Jun-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Jun 16","20 Jun 16","Toowoomba","Assistant Minister - Official Business","1","368.00","","368.00","20-Jun-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Jun 16","24 Jun 16","Brisbane","Assistant Minister - Official Business","3","430.00","","432.00","22-Jun-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Jun 16","24 Jun 16","Brisbane","Assistant Minister - Official Business","3","430.00","","858.00","22-Jun-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","20 Nov 15","21 Nov 15","Kingaroy","Parliamentary Political Party Meeting","2","368.00","","736.00","20-Nov-2015","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","3,514.47","01-Jan-1900","OS Ministerial - Accommodation and meals",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","10,510.71","01-Jan-1900","OS Ministerial - Fares",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","496.64","01-Jan-1900","OS Ministerial - Ground transport",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","315.00","01-Jan-1900","OS Ministerial - Minor official expense advance",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","29.88","01-Jan-1900","OS Ministerial - Related travel expenses",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Jan 16 - Brisbane to Sydney","","","","698.67","07-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Jan 16 - Sydney to Brisbane","","","","698.67","08-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Jan 16 - Brisbane to Canberra","","","","771.49","23-Jan-2016","",""
"James McGrath","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Jan 16 - Canberra to Brisbane","","","","714.18","26-Jan-2016","",""
