"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","6 Feb 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","01-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Mount Dandenong to Canberra 1 Feb 16","","","","502.10","01-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Mount Dandenong 12 Feb 16","","","","321.10","12-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Mount Dandenong to Canberra 21 Feb 16","","","","277.10","21-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Mount Dandenong to Canberra 26 Feb 16","","","","277.10","26-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Melbourne to Canberra 28 Feb 16","","","","277.10","28-Feb-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Melbourne 4 Mar 16","","","","223.85","04-Mar-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Mount Dandenong to Canberra 13 Mar 16","","","","223.85","13-Mar-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Mount Dandenong 18 Mar 16","","","","223.85","18-Mar-2016"
"Jason Wood","Representative","La Trobe","Victoria","Liberal Party of Australia","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Mount Dandenong to Canberra 17 Apr 16","","","","223.85","17-Apr-2016"
