"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Jan 16","20 Jan 16","Rockhampton","Electorate Business","1","283.00","","283.00","20-Jan-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Feb 16","11 Feb 16","Canberra","Senate Estimates","3","273.00","","819.00","09-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","5 Apr 16","Townsville","National Disability Insurance Scheme","2","283.00","","566.00","04-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","6 May 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","01-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 May 16","10 May 16","Townsville","Electorate Business","1","283.00","","283.00","10-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 May 16","11 May 16","Cairns","Electorate Business","1","291.00","","291.00","11-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 May 16","12 May 16","Thursday Island","Electorate Business","1","351.00","","351.00","12-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 May 16","15 May 16","Gladstone","Electorate Business","1","338.00","","338.00","15-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 May 16","16 May 16","Rockhampton","Electorate Business","1","283.00","","283.00","16-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 May 16","28 May 16","Mount Isa","Electorate Business","1","311.00","","311.00","28-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Jun 16","8 Jun 16","Toowoomba","Electorate Business","2","283.00","","566.00","07-Jun-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Jun 16","14 Jun 16","Bribie Island","Electorate Business","1","258.00","","258.00","14-Jun-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Jan 16 - Brisbane to Rockhampton","","","","212.94","20-Jan-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Jan 16 - Rockhampton to Brisbane","","","","212.94","21-Jan-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Jan 16 - Brisbane to Townsville","","","","598.04","25-Jan-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Jan 16 - Townsville to Brisbane","","","","271.82","25-Jan-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Brisbane to Canberra","","","","798.76","01-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Coolangatta","","","","588.25","04-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Feb 16 - Brisbane to Canberra","","","","798.76","09-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Brisbane","","","","714.18","12-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Brisbane to Canberra","","","","798.76","21-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Coolangatta","","","","588.25","25-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Brisbane to Canberra","","","","469.90","28-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Brisbane","","","","469.90","03-Mar-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Brisbane to Canberra","","","","798.76","14-Mar-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Brisbane","","","","469.90","18-Mar-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Apr 16 - Brisbane to Townsville","","","","598.04","04-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Townsville to Palm Island","","","","246.15","05-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Apr 16 - Palm Island to Townsville","","","","","05-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Apr 16 - Townsville to Brisbane","","","","598.04","06-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Apr 16 - Brisbane to Townsville","","","","598.04","16-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Apr 16 - Townsville to Brisbane","","","","849.51","16-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Brisbane to Canberra","","","","180.41","17-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Canberra to Brisbane","","","","798.76","20-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Brisbane to Canberra","","","","714.18","01-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 May 16 - Canberra to Brisbane","","","","798.76","07-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 May 16 - Brisbane to Townsville","","","","477.13","10-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 May 16 - Townsville to Cairns","","","","310.73","11-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 May 16 - Cairns to Horn Island","","","","340.93","12-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 May 16 - Bamaga to Cairns","","","","543.62","13-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 May 16 - Cairns to Brisbane","","","","611.67","13-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 May 16 - Brisbane to Gladstone","","","","302.21","15-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 May 16 - Rockhampton to Brisbane","","","","180.37","17-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 May 16 - Brisbane to Mount Isa","","","","585.82","28-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 May 16 - Mount Isa to Brisbane","","","","923.60","29-May-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","4 Sep 15 - Townsville to Palm Island","","","","40.00","04-Sep-2015",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","4 Sep 15 - Palm Island to Townsville","","","","","04-Sep-2015",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","9 Dec 15 - Brisbane to Cairns","","","","439.85","09-Dec-2015",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","12 Dec 15 - Townsville to Mackay","","","","353.54","12-Dec-2015",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","17 Dec 15 - Horn Island to Thursday Island","","","","27.82","17-Dec-2015",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","18 Dec 15 - Thursday Island to Horn Island","","","","","18-Dec-2015",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 5 Jan to 27 Jan 16","","","","338.62","27-Jan-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Jan to 23 Feb 16","","","","901.85","23-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 1 Feb to 25 Feb 16","","","","350.77","25-Feb-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Feb to 23 Mar 16","","","","901.85","23-Mar-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 4 Mar to 29 Mar 16","","","","407.27","29-Mar-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 24 Mar to 23 Apr 16","","","","901.85","23-Apr-2016",""
"Joanna Lindgren","Senator","","Queensland","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 3 Apr to 20 Apr 16","","","","240.85","20-Apr-2016",""
