"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","31 Jan 16","Canberra","Parliamentary Political Party Meeting","1","273.00","","273.00","31-Jan-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Senate Estimates","4","273.00","","1,092.00","07-Feb-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","11 Apr 16","Darwin","Unconventional Gas Mining","1","438.00","","438.00","11-Apr-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Apr 16","27 Apr 16","Canberra","Finance and Public Administration","2","273.00","","546.00","26-Apr-2016",""
"Joe Ludwig","Senator","","Queeensland","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Apr 16","29 Apr 16","Canberra","Electorate Business","1","273.00","","273.00","29-Apr-2016",""
