"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"John Cobb","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Orange to Sydney","","","","389.73","14-Mar-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Sydney to Melbourne","","","","698.76","14-Mar-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Melbourne to Canberra","","","","686.29","14-Mar-2016","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","11 Dec 15 - Orange to Sydney","","","","384.73","11-Dec-2015","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","11 Dec 15 - Sydney to Orange","","","","384.73","11-Dec-2015","",""
"John Cobb","Representative","Calare","New South Wales","The Nationals","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 2 Jan to 26 Jan 16","","","","586.88","26-Jan-2016","",""
