"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","13-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","22 Nov 15","24 Nov 15","Canberra","Sittings of Parliament","3","273.00","","819.00","22-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","29 Nov 15","3 Dec 15","Canberra","Sittings of Parliament","5","273.00","","1,365.00","29-Nov-2015"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Sydney to Canberra 31 Jan 16","","","","110.60","31-Jan-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Sydney 5 Feb 16","","","","110.60","05-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Sydney to Canberra 7 Feb 16","","","","110.60","07-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Sydney 12 Feb 16","","","","110.60","12-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Sydney to Canberra 21 Feb 16","","","","110.60","21-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Sydney 26 Feb 16","","","","110.60","26-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Sydney to Canberra 28 Feb 16","","","","110.60","28-Feb-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Sydney 3 Mar 16","","","","90.40","03-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Sydney to Canberra 13 Mar 16","","","","90.40","13-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Sydney 18 Mar 16","","","","90.40","18-Mar-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Sydney to Canberra 17 Apr 16","","","","90.40","17-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Sydney 20 Apr 16","","","","90.40","20-Apr-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Sydney to Canberra 1 May 16","","","","90.40","01-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","From 1 January 2016","","","","Canberra to Sydney 6 May 16","","","","90.40","06-May-2016"
"Julie Owens","Representative","Parramatta","New South Wales","Australian Labor Party","Car Costs","Private Vehicle Allowance","Before 1 January 2016","","","","Canberra to Sydney 5 Mar 15","","","","3.40","05-Mar-2015"
