"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","13 Feb 16","Sydney","Parliamentary Political Party Meeting","2","397.00","","794.00","12-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Coolangatta to Sydney","","","","645.37","01-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Sydney to Canberra","","","","","01-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Coolangatta","","","","588.25","04-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Coolangatta to Sydney","","","","645.37","07-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Sydney to Canberra","","","","","07-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Sydney","","","","328.20","12-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Feb 16 - Sydney to Coolangatta","","","","545.38","14-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Coolangatta to Sydney","","","","645.37","21-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Sydney to Canberra","","","","","21-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Coolangatta","","","","588.25","25-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Coolangatta to Sydney","","","","645.37","28-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Sydney to Canberra","","","","","28-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Coolangatta","","","","588.25","03-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Coolangatta to Sydney","","","","645.37","14-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Sydney to Canberra","","","","","14-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Brisbane","","","","798.76","18-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Coolangatta to Sydney","","","","645.37","17-Apr-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Sydney to Canberra","","","","","17-Apr-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Canberra to Brisbane","","","","798.76","20-Apr-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Coolangatta to Sydney","","","","645.37","01-May-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Sydney to Canberra","","","","","01-May-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Brisbane","","","","798.76","06-May-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 3 Jan to 26 Mar 16","","","","491.57","26-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 Jan to 7 Feb 16","","","","1,538.93","07-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 Feb to 7 Mar 16","","","","1,538.93","07-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 Mar to 7 Apr 16","","","","1,538.93","07-Apr-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 30 Mar to 27 Apr 16","","","","522.54","27-Apr-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 Apr to 7 May 16","","","","1,538.93","07-May-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 29 Apr to 25 May 16","","","","437.81","25-May-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 8 May to 7 Jun 16","","","","1,538.93","07-Jun-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 29 Nov to 3 Dec 15","","","","138.23","03-Dec-2015",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","End of lease adj 7 Dec 15","","","","1,103.06","07-Dec-2015",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 8 Dec 15 to 25 Feb 16","","","","1,207.33","08-Dec-2015",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Lease 8 Dec 15 to 7 Jan 16","","","","1,538.93","08-Dec-2015",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","End of lease adj 8 Dec 15","","","","-2,710.12","08-Dec-2015",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","End of lease adj 8 Dec 15","","","","-732.56","08-Dec-2015",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","End of lease adj 8 Dec 15","","","","-206.41","08-Dec-2015",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","4 Feb 16 - Brisbane","","","","120.00","04-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","12 Feb 16 - Sydney","","","","54.50","12-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","14 Feb 16 - Sydney","","","","78.60","14-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","14 Feb 16 - Brisbane","","","","120.00","14-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","25 Feb 16 - Brisbane","","","","120.00","25-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","28 Feb 16 - Brisbane","","","","120.00","28-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","3 Mar 16 - Brisbane","","","","120.00","03-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","18 Mar 16 - Brisbane","","","","175.54","18-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","20 Apr 16 - Brisbane","","","","188.16","20-Apr-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","","","","6 May 16 - Brisbane","","","","196.02","06-May-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2016","","","","Aggregated Total","","","","78,444.48","01-Jan-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Facilities","Office Facilities","Before 1 January 2016","","","","Aggregated Total","","","","8,054.01","01-Jan-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Water refills 18 Jan 16","","","","24.00","18-Jan-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Water refills 18 Jan 16","","","","1.14","18-Jan-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 24 Jan to 23 Feb 16","","","","73.84","23-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 24 Jan to 23 Feb 16","","","","54.21","23-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Water refills 15 Feb 16","","","","36.00","15-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Water refills 15 Feb 16","","","","1.14","15-Feb-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Colour copy charge 24 Feb to 23 Mar 16","","","","290.75","23-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","MFD Monochrome copy charge 24 Feb to 23 Mar 16","","","","116.34","23-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Office requisites and stationery 1 Mar to 31 Mar 16","","","","41.02","31-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Flags 1 Mar to 31 Mar 16","","","","1,156.83","31-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Water refills 14 Mar 16","","","","1.14","14-Mar-2016",""
"Justine Elliot","Representative","Richmond","New South Wales","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","","","","Water refills 14 Mar 16","","","","24.00","14-Mar-2016",""
