"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","13-Mar-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Apr 16","5 May 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","30-Apr-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Sydney to Canberra","","","","103.74","07-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Sydney","","","","598.39","11-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 3 Jan to 25 Jan 16","","","","151.62","25-Jan-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 15 Jan to 14 Feb 16","","","","1,320.57","14-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 30 Jan to 27 Feb 16","","","","286.35","27-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 15 Feb to 14 Mar 16","","","","1,320.57","14-Mar-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 28 Feb to 19 Mar 16","","","","270.52","19-Mar-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 15 Mar to 14 Apr 16","","","","1,320.57","14-Apr-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 31 Mar to 22 Apr 16","","","","301.81","22-Apr-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 15 Apr to 14 May 16","","","","1,320.57","14-May-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 28 Apr to 27 May 16","","","","362.87","27-May-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 15 May to 14 Jun 16","","","","1,320.57","14-Jun-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 29 Nov to 20 Dec 15","","","","207.85","20-Dec-2015",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Lease 15 Dec 15 to 14 Jan 16","","","","1,320.57","15-Dec-2015",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Sydney","","","","176.18","07-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","105.40","07-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","103.60","07-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","7 Feb 16 - Canberra","","","","103.60","07-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","11 Feb 16 - Sydney","","","","195.72","11-Feb-2016",""
"Karen McNamara","Representative","Dobell","New South Wales","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2016","","","","Aggregated Total","","","","30,844.76","01-Jan-2016",""
