"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","27-Jan-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","28-Jan-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Feb 16","25 Feb 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","25-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","2","273.00","","546.00","15-Mar-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","30 Mar 16","Penrith","Shadow Minister - Official Business","1","258.00","","258.00","30-Mar-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","27 Apr 16","Darwin","Shadow Minister - Official Business","1","438.00","","438.00","27-Apr-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 May 16","11 May 16","Townsville","Shadow Minister - Official Business","3","283.00","","849.00","09-May-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 May 16","12 May 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","12-May-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 May 16","13 May 16","Brisbane","Shadow Minister - Official Business","1","408.00","","408.00","13-May-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 May 16","18 May 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","18-May-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Jan 16 - Adelaide to Melbourne","","","","774.58","27-Jan-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Jan 16 - Melbourne to Sydney","","","","780.82","28-Jan-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Sydney to Adelaide","","","","938.95","29-Jan-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Adelaide to Canberra","","","","769.46","31-Jan-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Adelaide","","","","834.00","04-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Adelaide to Canberra","","","","769.46","07-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Adelaide","","","","834.00","11-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Feb 16 - Adelaide to Melbourne","","","","774.58","15-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Feb 16 - Melbourne to Adelaide","","","","774.58","15-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Adelaide to Canberra","","","","769.46","21-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Melbourne","","","","686.29","25-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Melbourne to Adelaide","","","","693.69","26-Feb-2016",""
"Kate Ellis","Representative","Adelaide","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Adelaide to Canberra","","","","769.46","28-Feb-2016",""
