"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","11 Feb 16","Canberra","Sittings of Parliament","12","273.00","","3,276.00","31-Jan-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","17 Feb 16","Canberra","Official Government or Vice-Regal Function","1","273.00","","273.00","17-Feb-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","18-Feb-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Feb 16","27 Feb 16","Brisbane","Parliamentary Political Party Meeting","2","430.00","","860.00","26-Feb-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Mar 16","12 Mar 16","Brisbane","Assistant Minister - Official Business","1","430.00","","430.00","12-Mar-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","13 Mar 16","Cairns","Assistant Minister - Official Business","1","368.00","","368.00","13-Mar-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Mar 16","20 Mar 16","Sydney","Assistant Minister - Official Business","1","438.00","","438.00","20-Mar-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","21 Mar 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","21-Mar-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Apr 16","16 Apr 16","Townsville","Parliamentary Political Party Meeting","1","368.00","","368.00","16-Apr-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Assistant Minister - Official Business","3","273.00","","819.00","17-Apr-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","20 Apr 16","Albury","Assistant Minister - Official Business","1","368.00","","368.00","20-Apr-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Apr 16","21 Apr 16","Shepparton","Assistant Minister - Official Business","1","368.00","","368.00","21-Apr-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Apr 16","26 Apr 16","Winton","Assistant Minister - Official Business","1","368.00","","368.00","26-Apr-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","27 Apr 16","Longreach","Assistant Minister - Official Business","1","368.00","","368.00","27-Apr-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 May 16","25 May 16","Cleveland","Assistant Minister - Official Business","1","368.00","","368.00","25-May-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 May 16","28 May 16","Emerald","Electorate Business","1","368.00","","368.00","28-May-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","20 Nov 15","21 Nov 15","Kingaroy","Parliamentary Political Party Meeting","2","285.00","","570.00","20-Nov-2015",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Bundaberg to Brisbane","","","","1,182.19","31-Jan-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Brisbane to Canberra","","","","","31-Jan-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Brisbane","","","","1,182.19","12-Feb-2016",""
"Keith Pitt","Representative","Hinkler","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Brisbane to Bundaberg","","","","","12-Feb-2016",""
