"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","21 Jan 16","Adelaide","Electorate Business","3","359.00","","1,077.00","19-Jan-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","1","273.00","","273.00","10-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","11","273.00","","3,003.00","21-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","18 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","14-Mar-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 May 16","25 May 16","Sydney","Electorate Business","1","133.00","","133.00","25-May-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","1,855.16","01-Jan-2016","OS Study - Fares",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Melbourne to Adelaide","","","","418.00","19-Jan-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Jan 16 - Adelaide to Melbourne","","","","418.00","25-Jan-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Feb 16 - Sydney to Canberra","","","","328.20","10-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Melbourne","","","","686.29","11-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Feb 16 - Melbourne to Sydney","","","","780.82","13-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","13 Feb 16 - Sydney to Melbourne","","","","446.15","13-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","686.29","21-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Melbourne","","","","409.90","03-Mar-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Melbourne to Canberra","","","","686.29","10-Mar-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Canberra to Melbourne","","","","217.51","10-Mar-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Melbourne to Canberra","","","","613.09","14-Mar-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Mar 16 - Canberra to Melbourne","","","","686.29","19-Mar-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Orange to Sydney","","","","389.73","08-Apr-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Sydney to Melbourne","","","","780.82","08-Apr-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Apr 16 - Melbourne to Canberra","","","","409.90","09-Apr-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Melbourne to Canberra","","","","686.29","17-Apr-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Apr 16 - Canberra to Melbourne","","","","686.29","20-Apr-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","613.09","01-May-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Melbourne","","","","245.30","06-May-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 May 16 - Melbourne to Sydney","","","","780.82","25-May-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 May 16 - Sydney to Melbourne","","","","780.82","26-May-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 2 Jan to 25 Jan 16","","","","491.28","25-Jan-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 12 Jan to 11 Feb 16","","","","1,297.65","11-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 30 Jan to 26 Feb 16","","","","357.70","26-Feb-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 12 Feb to 11 Mar 16","","","","1,297.65","11-Mar-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 28 Feb to 28 Mar 16","","","","396.49","28-Mar-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 12 Mar to 11 Apr 16","","","","1,297.65","11-Apr-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 23 Mar to 26 Apr 16","","","","635.22","26-Apr-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 12 Apr to 11 May 16","","","","1,297.65","11-May-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 3 May to 25 May 16","","","","387.22","25-May-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Lease 12 May to 11 Jun 16","","","","1,297.65","11-Jun-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Fuel 24 Nov to 26 Dec 15","","","","531.33","26-Dec-2015","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","","","","Lease 12 Dec 15 to 11 Jan 16","","","","1,297.65","12-Dec-2015","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","19 Jan 16 - Melbourne","","","","48.05","19-Jan-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","19 Jan 16 - Adelaide","","","","80.40","19-Jan-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","20 Jan 16 - Adelaide","","","","48.47","20-Jan-2016","",""
"Kevin Andrews","Representative","Menzies","Victoria","Liberal Party of Australia","Car Costs","COMCAR","From 1 January 2016","","","","20 Jan 16 - Adelaide","","","","40.00","20-Jan-2016","",""
