"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Woolgoolga","Electorate Business","1","258.00","","258.00","27-Jan-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","4 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-Feb-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","06-Feb-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Mar 16","22 Mar 16","Woolgoolga","Electorate Business","1","258.00","","258.00","22-Mar-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 May 16","13 May 16","Woolgoolga","Electorate Business","1","258.00","","258.00","13-May-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 May 16","23 May 16","Grafton","Electorate Business","1","258.00","","258.00","23-May-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Jun 16","15 Jun 16","Grafton","Electorate Business","2","258.00","","516.00","14-Jun-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Ballina Airport to Sydney","","","","199.09","01-Feb-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Sydney to Canberra","","","","328.20","01-Feb-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Sydney","","","","598.39","05-Feb-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Sydney to Ballina Airport","","","","199.09","05-Feb-2016",""
"Kevin Hogan","Representative","Page","New South Wales","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Feb 16 - Coolangatta to Canberra","","","","588.25","06-Feb-2016",""
