"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Jan 16","14 Jan 16","Margaret River","Electorate Business","1","258.00","","258.00","14-Jan-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","5 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-Feb-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","11 Feb 16","Canberra","Senate Estimates","6","273.00","","1,638.00","06-Feb-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","19 Feb 16","Melbourne","Environment and Communications","2","379.00","","758.00","18-Feb-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","20-Feb-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Mar 16","4 Mar 16","Canberra","Environment and Communications","1","273.00","","273.00","04-Mar-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Mar 16","6 Mar 16","Canberra","National Disability Insurance Scheme","1","273.00","","273.00","06-Mar-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","30 Mar 16","Canberra","Environment and Communications","1","273.00","","273.00","30-Mar-2016",""
"Linda Reynolds","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","16-Apr-2016",""
