"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","19 Jan 16","Canberra","Minister - Official Business","1","273.00","","273.00","19-Jan-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Jan 16","20 Jan 16","Melbourne","Minister - Official Business","1","438.00","","438.00","20-Jan-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Jan 16","26 Jan 16","Brisbane","Minister - Official Business","1","430.00","","430.00","26-Jan-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Mackay","Minister - Official Business","1","368.00","","368.00","27-Jan-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Hervey Bay","Minister - Official Business","1","368.00","","368.00","28-Jan-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Jan 16","29 Jan 16","Brisbane","Minister - Official Business","1","430.00","","430.00","29-Jan-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Feb 16","4 Feb 16","Port Macquarie","Minister - Official Business","1","368.00","","368.00","04-Feb-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Feb 16","27 Feb 16","Port Macquarie","Electorate Business","1","283.00","","283.00","27-Feb-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","8 Mar 16","Port Macquarie","Electorate Business","2","283.00","","566.00","07-Mar-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","15 Mar 16","Canberra","Sittings of Parliament","2","273.00","","546.00","14-Mar-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Mar 16","18 Mar 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Mar-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","21 Mar 16","Port Macquarie","Electorate Business","1","283.00","","283.00","21-Mar-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","30 Mar 16","Port Macquarie","Electorate Business","1","283.00","","283.00","30-Mar-2016","",""
"Luke Hartsuyker","Representative","Cowper","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016","",""
