"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Melbourne","Prime Minister","1","564.00","","564.00","28-Jan-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Feb 16","14 Feb 16","Townsville","Prime Minister","1","564.00","","564.00","14-Feb-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","Rockhampton","Prime Minister","1","564.00","","564.00","15-Feb-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","16 Feb 16","Brisbane","Prime Minister","1","564.00","","564.00","16-Feb-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Mar 16","4 Mar 16","Wyong","Prime Minister","1","564.00","","564.00","04-Mar-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","9 Mar 16","Adelaide","Prime Minister","3","564.00","","1,692.00","07-Mar-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Apr 16","10 Apr 16","Karratha","Prime Minister","1","564.00","","564.00","10-Apr-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","12 Apr 16","Perth","Prime Minister","2","564.00","","1,128.00","11-Apr-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Apr 16","25 Apr 16","Adelaide","Prime Minister","1","564.00","","564.00","25-Apr-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Apr 16","26 Apr 16","Brisbane","Prime Minister","1","564.00","","564.00","26-Apr-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","27 Apr 16","Hobart","Prime Minister","1","564.00","","564.00","27-Apr-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Apr 16","28 Apr 16","Melbourne","Prime Minister","1","564.00","","564.00","28-Apr-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 May 16","9 May 16","Brisbane","Prime Minister","2","564.00","","1,128.00","08-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 May 16","11 May 16","Melbourne","Prime Minister","1","564.00","","564.00","11-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 May 16","12 May 16","Adelaide","Prime Minister","1","564.00","","564.00","12-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 May 16","15 May 16","Perth","Prime Minister","1","564.00","","564.00","15-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 May 16","16 May 16","Darwin","Prime Minister","1","564.00","","564.00","16-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 May 16","17 May 16","Cairns","Prime Minister","1","564.00","","564.00","17-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 May 16","19 May 16","Launceston","Prime Minister","1","564.00","","564.00","19-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 May 16","20 May 16","The Entrance","Prime Minister","1","564.00","","564.00","20-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 May 16","23 May 16","Geelong","Prime Minister","1","564.00","","564.00","23-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 May 16","24 May 16","Melbourne","Prime Minister","1","564.00","","564.00","24-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 May 16","25 May 16","Rockhampton","Prime Minister","1","564.00","","564.00","25-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 May 16","26 May 16","Brisbane","Prime Minister","1","564.00","","564.00","26-May-2016","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","19 Nov 15","20 Nov 15","Darwin","Prime Minister","2","564.00","","1,128.00","19-Nov-2015","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","8 Dec 15","8 Dec 15","Esperance","Prime Minister","1","564.00","","564.00","08-Dec-2015","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","9 Dec 15","9 Dec 15","Perth","Prime Minister","1","564.00","","564.00","09-Dec-2015","",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","15,993.49","01-Jan-2016","OS Ministerial - Accommodation and meals",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","122,289.59","01-Jan-2016","OS Ministerial - Fares",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","22,816.50","01-Jan-2016","OS Ministerial - Ground transport",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","378.00","01-Jan-2016","OS Ministerial - Minor official expense advance",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","23,971.02","01-Jan-2016","OS Ministerial - Related travel expenses",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","2,375.24","01-Jan-2016","OS Ministerial - Travel advance",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","29,354.81","01-Jan-2016","OS Ministerial - Accommodation and meals",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","1,121.60","01-Jan-2016","OS Ministerial - Official hospitality non portfolio related",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","50,939.84","01-Jan-2016","OS Ministerial - Related travel expenses",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","6,383.89","01-Jan-2016","OS Ministerial - Fares",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","267.88","01-Jan-2016","OS Ministerial - Ground transport",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","9,756.52","01-Jan-2016","OS Ministerial - Accommodation and meals",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","2,230.19","01-Jan-2016","OS Ministerial - Ground transport",""
"Malcolm Turnbull","Representative","Wentworth","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","21,202.06","01-Jan-2016","OS Ministerial - Related travel expenses",""
