"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","2","273.00","","546.00","02-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","08-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","22-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","15-Mar-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","1","273.00","","273.00","18-Apr-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 May 16","4 May 16","Canberra","Sittings of Parliament","3","273.00","","819.00","02-May-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 Feb 16 - Melbourne to Canberra","","","","613.09","02-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Melbourne","","","","613.09","04-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Feb 16 - Melbourne to Canberra","","","","613.09","08-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Melbourne","","","","613.09","11-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Feb 16 - Melbourne to Canberra","","","","613.09","22-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Melbourne","","","","613.09","25-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Feb 16 - Melbourne to Canberra","","","","613.09","29-Feb-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Melbourne","","","","613.09","03-Mar-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Mar 16 - Melbourne to Adelaide","","","","774.58","08-Mar-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","9 Mar 16 - Adelaide to Melbourne","","","","774.58","09-Mar-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Mar 16 - Melbourne to Canberra","","","","613.09","15-Mar-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Melbourne","","","","217.51","18-Mar-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Apr 16 - Melbourne to Canberra","","","","613.09","18-Apr-2016","",""
"Maria Vamvakinou","Representative","Calwell","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Canberra to Melbourne","","","","613.09","19-Apr-2016","",""
