"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Jan 16","19 Jan 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","19-Jan-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","08-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","8 Mar 16","Perth","Shadow Minister - Official Business","2","411.00","","822.00","07-Mar-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","09-Mar-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","16 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","14-Mar-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","5 Apr 16","Brisbane","Shadow Minister - Official Business","2","408.00","","816.00","04-Apr-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Apr 16","6 Apr 16","Lismore","Shadow Minister - Official Business","1","258.00","","258.00","06-Apr-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","1","273.00","","273.00","18-Apr-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Apr 16","20 Apr 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","20-Apr-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 May 16","5 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","02-May-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 May 16","19 May 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","19-May-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 May 16","31 May 16","Cottesloe","Shadow Minister - Official Business","3","258.00","","774.00","29-May-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Jun 16","5 Jun 16","Adelaide","Shadow Minister - Official Business","1","359.00","","359.00","05-Jun-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Jun 16","6 Jun 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","06-Jun-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Jun 16","9 Jun 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","09-Jun-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Jun 16","18 Jun 16","Sydney","Shadow Minister - Official Business","1","397.00","","397.00","18-Jun-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","19 Dec 15","19 Dec 15","Sydney","Shadow Minister - Official Business","1","133.00","","133.00","19-Dec-2015",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Jan 16 - Melbourne to Sydney","","","","698.76","19-Jan-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Jan 16 - Sydney to Melbourne","","","","698.76","20-Jan-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Melbourne to Sydney","","","","780.82","29-Jan-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Sydney to Melbourne","","","","780.82","29-Jan-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Melbourne to Canberra","","","","686.29","01-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Melbourne","","","","409.90","04-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Feb 16 - Melbourne to Canberra","","","","135.61","08-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Melbourne","","","","409.90","11-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","135.61","21-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Melbourne","","","","217.51","25-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Feb 16 - Melbourne to Canberra","","","","135.61","29-Feb-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Melbourne","","","","686.29","03-Mar-2016",""
"Mark Dreyfus","Representative","Isaacs","Victoria","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Melbourne to Perth","","","","1,892.88","07-Mar-2016",""
