"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Canberra","Minister - Official Business","1","273.00","","273.00","27-Jan-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","10 Feb 16","Canberra","Minister - Official Business","5","273.00","20.00","1,385.00","06-Feb-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","16 Feb 16","Adelaide","Minister - Official Business","1","382.00","","382.00","16-Feb-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","17 Feb 16","Canberra","Minister - Official Business","1","273.00","","273.00","17-Feb-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","8 Mar 16","Adelaide","Minister - Official Business","2","382.00","","764.00","07-Mar-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","22 Mar 16","Sydney","Minister - Official Business","2","438.00","","876.00","21-Mar-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","31 Mar 16","Canberra","Minister - Official Business","2","273.00","","546.00","30-Mar-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Apr 16","3 Apr 16","Brisbane","Minister - Official Business","1","430.00","","430.00","03-Apr-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","7 Apr 16","Sydney","Minister - Official Business","3","438.00","","1,314.00","05-Apr-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","20 Apr 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","17-Apr-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Apr 16","30 Apr 16","Canberra","Minister - Official Business","4","273.00","","1,092.00","27-Apr-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016","",""
"Mathias Cormann","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 May 16","5 May 16","Canberra","Senate Estimates","1","273.00","","273.00","05-May-2016","",""
