"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes","Type"
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Jan 16","15 Jan 16","Mackay","Electorate Business","1","312.00","","312.00","15-Jan-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Jan 16","16 Jan 16","Bowen","Electorate Business","1","258.00","","258.00","16-Jan-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Feb 16","16 Feb 16","Townsville","Electorate Business","1","283.00","","283.00","16-Feb-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","17 Feb 16","Canberra","Official Government or Vice-Regal Function","1","273.00","","273.00","17-Feb-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Canberra","Minister - Official Business","1","273.00","","273.00","18-Feb-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Feb 16","27 Feb 16","Brisbane","Minister - Official Business","2","144.00","","288.00","26-Feb-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Darwin","Minister - Official Business","1","460.00","","460.00","08-Mar-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","10 Mar 16","Townsville","Minister - Official Business","2","368.00","","736.00","09-Mar-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","13 Mar 16","Canberra","Minister - Official Business","1","273.00","","273.00","13-Mar-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Mar 16","23 Mar 16","Carina","Minister - Official Business","1","123.00","","123.00","23-Mar-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","31 Mar 16","Cairns","Minister - Official Business","2","368.00","","736.00","30-Mar-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Brisbane","Minister - Official Business","1","430.00","","430.00","04-Apr-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","5 Apr 16","Brisbane","Minister - Official Business","1","430.00","","430.00","05-Apr-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Apr 16","6 Apr 16","Mackay","Minister - Official Business","1","368.00","","368.00","06-Apr-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Apr 16","7 Apr 16","Brisbane","Minister - Official Business","1","430.00","","430.00","07-Apr-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Apr 16","10 Apr 16","Darwin","Minister - Official Business","1","460.00","","460.00","10-Apr-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Apr 16","11 Apr 16","Darwin","Minister - Official Business","1","460.00","","460.00","11-Apr-2016","",""
"Matthew Canavan","Senator","","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Apr 16","12 Apr 16","Sydney","Minister - Official Business","1","438.00","","438.00","12-Apr-2016","",""
