"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Jan 16","12 Jan 16","Geraldton","Electorate Business","1","326.00","","326.00","12-Jan-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Wodonga","Agriculture and Industry","1","258.00","","258.00","27-Jan-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","29 Jan 16","Melbourne","Agriculture and Industry","2","379.00","","758.00","28-Jan-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Feb 16","5 Feb 16","Port Hedland","Electorate Business","1","446.00","","446.00","05-Feb-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","Geraldton","Electorate Business","1","326.00","","326.00","12-Feb-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","New Norcia","Electorate Business","1","258.00","","258.00","15-Feb-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Melissa Price","Representative","Durack","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","21 Mar 16","Geraldton","Electorate Business","1","326.00","","326.00","21-Mar-2016",""
