"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Feb 16","14 Feb 16","Sydney","Minister - Official Business","1","438.00","","438.00","14-Feb-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","Melbourne","Minister - Official Business","1","438.00","","438.00","15-Feb-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","21 Feb 16","Sydney","Minister - Official Business","1","438.00","","438.00","21-Feb-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Feb 16","22 Feb 16","Sydney","Minister - Official Business","1","438.00","","438.00","22-Feb-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","2","273.00","","546.00","23-Feb-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","3 Mar 16","Sydney","Sittings of Parliament","1","438.00","","438.00","03-Mar-2016","",""
"Michael Keenan","Representative","Stirling","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Sydney","Minister - Official Business","1","438.00","","438.00","08-Mar-2016","",""
