"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Jan 16","12 Jan 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","12-Jan-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Jan 16","20 Jan 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","20-Jan-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Jan 16","27 Jan 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","27-Jan-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Jan 16","28 Jan 16","Tweed Heads","Assistant Minister - Official Business","1","368.00","","368.00","28-Jan-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Jan 16","29 Jan 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","29-Jan-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","31 Jan 16","Canberra","Assistant Minister - Official Business","1","273.00","","273.00","31-Jan-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","6 Feb 16","Canberra","Sittings of Parliament","1","273.00","10.00","283.00","06-Feb-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","07-Feb-2016","",""
"Michael McCormack","Representative","Riverina","New South Wales","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Feb 16","12 Feb 16","Tumbarumba","Electorate Business","1","368.00","","368.00","12-Feb-2016","",""
