"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date","Date From","Date To","Location","Nights","Rate","Spouse","Type"
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","16 Mar 16 - Melbourne to Canberra","686.29","","16-Mar-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","16 Mar 16 - Canberra to Melbourne","686.29","","16-Mar-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Mar 16 - Melbourne to Darwin","1,499.12","","20-Mar-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","26 Mar 16 - Darwin to Melbourne","1,499.12","","26-Mar-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","27 Apr 16 - Melbourne to Sydney","780.82","","27-Apr-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","28 Apr 16 - Sydney to Melbourne","780.82","","28-Apr-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","1 Jun 16 - Melbourne to Sydney","780.82","","01-Jun-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","2 Jun 16 - Sydney to Melbourne","780.82","","02-Jun-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","22 Feb 16 - Melbourne to Canberra","686.29","","22-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","25 Feb 16 - Canberra to Melbourne","686.29","","25-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","4 Dec 15 - Canberra to Melbourne","217.51","","04-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Electorate Business","379.00","","19-Jan-2016","19 Jan 16","19 Jan 16","Melbourne","1","379.00","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Electorate Business","379.00","","04-Feb-2016","4 Feb 16","4 Feb 16","Melbourne","1","379.00","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Electorate Business","379.00","","15-Feb-2016","15 Feb 16","15 Feb 16","Melbourne","1","379.00","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","Sittings of Parliament","819.00","","22-Feb-2016","22 Feb 16","24 Feb 16","Canberra","3","273.00","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","Electorate Business","-59.00*","","10-Dec-2015","10 Dec 15","10 Dec 15","Melbourne","0","379.00","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","Electorate Business","379.00","","23-Dec-2015","23 Dec 15","23 Dec 15","Melbourne","1","379.00","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","","","","01-Jan-1900","*","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","","","","01-Jan-1900","","Adjustment by Member.","Member initiated.","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","Fuel 1 Jan to 22 Jan 16","190.10","","22-Jan-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","Lease 17 Jan to 16 Feb 16","888.20","","16-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","Fuel 24 Jan to 22 Feb 16","398.65","","22-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","Lease 17 Feb to 16 Mar 16","888.20","","16-Mar-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","Fuel 28 Feb to 29 Feb 16","62.56","","29-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","Fuel 24 Nov to 29 Dec 15","496.15","","29-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","Before 1 January 2016","Lease 17 Dec 15 to 16 Jan 16","888.20","","17-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Parking","From 1 January 2016","Parking between 22 Feb and 25 Feb 16","128.89","","25-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","Before 1 January 2016","22 Nov 15","163.05","","22-Nov-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","Before 1 January 2016","29 Nov 15","163.05","","29-Nov-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","Before 1 January 2016","4 Dec 15","163.05","","04-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","Before 1 January 2016","10 Dec 15","11.32","","10-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","Before 1 January 2016","10 Dec 15","13.04","","10-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","Before 1 January 2016","17 Dec 15","30.50","","17-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","Before 1 January 2016","18 Dec 15","9.97","","18-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Cabcharge","Before 1 January 2016","18 Dec 15","10.36","","18-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Car Costs","Other Car Costs","Before 1 January 2016","Taxi 8 Oct 15","171.82","","08-Oct-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","From 1 January 2016","Aggregated Total","19,580.70","","01-Jan-1900","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Facilities","Office Facilities","Before 1 January 2016","Aggregated Total","3,162.88","","01-Jan-1900","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Office requisites and stationery 1 Jan to 31 Jan 16","263.88","","31-Jan-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Flags 1 Jan to 31 Jan 16","471.80","","31-Jan-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","MFD Colour copy charge 28 Jan to 27 Feb 16","91.60","","27-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","MFD Monochrome copy charge 28 Jan to 27 Feb 16","1.24","","27-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Office requisites and stationery 1 Feb to 29 Feb 16","4,729.59","","29-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Flags 1 Feb to 29 Feb 16","1,102.05","","29-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","Toner cartridge credit 1 Jul 12 to 30 Jun 14","-1,514.03","","01-Jul-2012","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","Toner cartridge credit 1 Jul 14 to 30 Jun 15","-5,161.57","","01-Jul-2014","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","Toner cartridge credit 1 Jul 15 to 31 Mar 16","-1,644.64","","01-Jul-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","MFD Colour copy charge 28 Nov to 27 Dec 15","48.57","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","MFD Monochrome copy charge 28 Nov to 27 Dec 15","2.00","","27-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","MFD Colour copy charge 28 Dec 15 to 27 Jan 16","3.21","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Office Consumables and Services","Before 1 January 2016","MFD Monochrome copy charge 28 Dec 15 to 27 Jan 16","1.87","","28-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2016","Distribution 1 Jan to 31 Jan 16","1,063.68","","31-Jan-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2016","Distribution late payment fee Jan 16","15.00","","01-Jan-1900","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2016","e-material 9 Jan 16","218.02","","09-Jan-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2016","Distribution 1 Feb to 29 Feb 16","0.59","","29-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2016","e-material 9 Feb 16","214.92","","09-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","From 1 January 2016","Web-services 23 Feb 16","150.00","","23-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2016","Distribution 1 Dec to 31 Dec 15","18.50","","31-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Printing and Communications","Before 1 January 2016","e-material 9 Dec 15","210.89","","09-Dec-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","5 Herald Sun 1 Feb to 28 Feb 16","6.36","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","4 The Geelong Advertiser (Sat) 1 Feb to 28 Feb 16","8.18","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","4 The Ballarat Courier (Sat) 1 Feb to 28 Feb 16","7.27","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","4 The Bendigo Advertiser (Sat) 1 Feb to 28 Feb 16","7.27","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","Administrative fees 1 Feb to 28 Feb 16","37.64","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","20 The Ballarat Courier 1 Feb to 28 Feb 16","27.27","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","20 The Australian Financial Review 1 Feb to 28 Feb 16","72.73","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","20 The Geelong Advertiser 1 Feb to 28 Feb 16","25.45","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","20 The Bendigo Advertiser 1 Feb to 28 Feb 16","25.45","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","15 Herald Sun 1 Feb to 28 Feb 16","20.45","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","20 The Age 1 Feb to 28 Feb 16","45.45","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","From 1 January 2016","20 The Australian 1 Feb to 28 Feb 16","49.09","","28-Feb-2016","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","5 The Ballarat Courier (Sat) 26 Oct to 29 Nov 15","9.09","","29-Nov-2015","","","","","","",""
"Michael Ronaldson","Senator","","Victoria","Liberal Party of Australia","Office Administrative Costs","Publications","Before 1 January 2016","5 The Geelong Advertiser (Sat) 26 Oct to 29 Nov 15","10.23","","29-Nov-2015","","","","","","",""
