"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","4 May 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","01-May-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Melbourne to Sydney","","","","780.82","31-Jan-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Sydney to Melbourne","","","","780.82","31-Jan-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Melbourne to Canberra","","","","409.90","01-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Melbourne","","","","686.29","04-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Melbourne to Canberra","","","","686.29","07-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Melbourne","","","","686.29","11-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Melbourne to Canberra","","","","686.29","21-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Feb 16 - Canberra to Melbourne","","","","-686.29","23-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Feb 16 - Melbourne to Canberra","","","","-135.61","23-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Feb 16 - Canberra to Melbourne","","","","686.29","23-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","23 Feb 16 - Melbourne to Canberra","","","","135.61","23-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Melbourne","","","","409.90","25-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Feb 16 - Melbourne to Canberra","","","","686.29","29-Feb-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Melbourne","","","","409.90","03-Mar-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Melbourne to Canberra","","","","686.29","14-Mar-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Melbourne","","","","409.90","18-Mar-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Melbourne to Canberra","","","","686.29","17-Apr-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Canberra to Melbourne","","","","217.51","19-Apr-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Apr 16 - Melbourne to Sydney","","","","780.82","21-Apr-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Apr 16 - Sydney to Melbourne","","","","780.82","22-Apr-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Melbourne to Canberra","","","","686.29","01-May-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 May 16 - Canberra to Melbourne","","","","686.29","05-May-2016",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Domestic Scheduled Fares","Fares","Before 1 January 2016","","","","4 Dec 15 - Canberra to Melbourne","","","","405.05","04-Dec-2015",""
"Michael Sukkar","Representative","Deakin","Victoria","Liberal Party of Australia","Car Costs","Private-Plated Vehicle","From 1 January 2016","","","","Fuel 1 Jan to 15 Jan 16","","","","170.30","15-Jan-2016",""
