"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Jan 16","29 Jan 16","Canberra","Minister - Official Business","7","273.00","","1,911.00","23-Jan-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","30-Jan-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Feb 16","8 Feb 16","Canberra","Senate Estimates","3","273.00","","819.00","06-Feb-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Feb 16","10 Feb 16","Canberra","Minister - Official Business","2","273.00","","546.00","09-Feb-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","11 Feb 16","11 Feb 16","Canberra","Senate Estimates","1","273.00","","273.00","11-Feb-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","20-Feb-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Feb 16","25 Feb 16","Sydney","Minister - Official Business","1","438.00","","438.00","25-Feb-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","27-Feb-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","3 Mar 16","3 Mar 16","Melbourne","Minister - Official Business","1","438.00","","438.00","03-Mar-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Mar 16","6 Mar 16","Canberra","Minister - Official Business","3","273.00","","819.00","04-Mar-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Mar 16","7 Mar 16","Sydney","Minister - Official Business","1","438.00","","438.00","07-Mar-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Adelaide","Minister - Official Business","1","382.00","","382.00","08-Mar-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","12 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","12-Mar-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Mar 16","20 Mar 16","Canberra","Minister - Official Business","3","273.00","","819.00","18-Mar-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Mar 16","21 Mar 16","Sydney","Minister - Official Business","1","438.00","","438.00","21-Mar-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Mar 16","22 Mar 16","Canberra","Minister - Official Business","1","273.00","","273.00","22-Mar-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","4 Apr 16","Sydney","Minister - Official Business","1","438.00","","438.00","04-Apr-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","5 Apr 16","Melbourne","Minister - Official Business","1","438.00","","438.00","05-Apr-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Apr 16","9 Apr 16","Sydney","Minister - Official Business","1","438.00","","438.00","09-Apr-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Apr 16","14 Apr 16","Townsville","Minister - Official Business","1","368.00","","368.00","14-Apr-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Apr 16","15 Apr 16","Canberra","Minister - Official Business","1","273.00","","273.00","15-Apr-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","16 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","16-Apr-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","19 Apr 16","20 Apr 16","Canberra","Minister - Official Business","2","273.00","","546.00","19-Apr-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Apr 16","23 Apr 16","Sydney","Minister - Official Business","3","438.00","","1,314.00","21-Apr-2016",""
"Michaelia Cash","Senator","","Western Australia","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Apr 16","26 Apr 16","Brisbane","Minister - Official Business","1","430.00","","430.00","26-Apr-2016",""
