"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Jan 16","21 Jan 16","Mackay","Electorate Business","1","312.00","","312.00","21-Jan-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","11 Feb 16","Canberra","Sittings of Parliament","11","273.00","","3,003.00","01-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Sarina","Electorate Business","1","258.00","","258.00","18-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 Feb 16","26 Feb 16","Brisbane","Parliamentary Political Party Meeting","1","408.00","","408.00","26-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","28-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Apr 16","6 Apr 16","Mackay","Electorate Business","1","312.00","","312.00","06-Apr-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 Apr 16","25 Apr 16","Sarina","Electorate Business","2","258.00","","516.00","24-Apr-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 May 16","9 May 16","Sarina","Electorate Business","1","258.00","","258.00","09-May-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 May 16","24 May 16","Clermont","Electorate Business","1","258.00","","258.00","24-May-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","26 May 16","26 May 16","Moranbah","Electorate Business","1","258.00","","258.00","26-May-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 May 16","28 May 16","Sarina","Electorate Business","1","258.00","","258.00","28-May-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 Jan 16 - Rockhampton to Brisbane","","","","1,075.56","24-Jan-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","24 Jan 16 - Brisbane to Canberra","","","","","24-Jan-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Jan 16 - Canberra to Brisbane","","","","1,395.84","26-Jan-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Jan 16 - Brisbane to Darwin","","","","","26-Jan-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Darwin to Brisbane","","","","1,735.89","29-Jan-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Jan 16 - Brisbane to Rockhampton","","","","","29-Jan-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Rockhampton to Brisbane","","","","1,102.83","01-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Brisbane to Canberra","","","","","01-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Brisbane","","","","1,139.08","12-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Brisbane to Rockhampton","","","","","12-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Rockhampton to Brisbane","","","","1,102.83","21-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Brisbane to Canberra","","","","","21-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Brisbane","","","","714.18","26-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Brisbane to Canberra","","","","798.76","28-Feb-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Canberra to Brisbane","","","","878.25","04-Mar-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Mar 16 - Brisbane to Rockhampton","","","","","04-Mar-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Rockhampton to Brisbane","","","","1,102.83","14-Mar-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Brisbane to Canberra","","","","","14-Mar-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Brisbane","","","","532.71","18-Mar-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Brisbane to Rockhampton","","","","","18-Mar-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Rockhampton to Brisbane","","","","309.60","08-Apr-2016",""
"Michelle Landry","Representative","Capricornia","Queensland","The Nationals","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Brisbane to Rockhampton","","","","309.60","08-Apr-2016",""
