"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Jan 16","22 Jan 16","Melbourne","Shadow Minister - Official Business","1","127.00","","127.00","22-Jan-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","24 Jan 16","24 Jan 16","Melbourne","Shadow Minister - Official Business","1","127.00","","127.00","24-Jan-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","2 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","2","273.00","","546.00","02-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","07-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","21-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","25 Feb 16","26 Feb 16","Melbourne","Shadow Minister - Official Business","2","379.00","","758.00","25-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Apr 16","7 Apr 16","Melbourne","Shadow Minister - Official Business","1","379.00","","379.00","07-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","10 Apr 16","11 Apr 16","Brisbane","Shadow Minister - Official Business","2","408.00","","816.00","10-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","2","273.00","","546.00","17-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Jan 16 - Sydney to Melbourne","","","","745.89","22-Jan-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Jan 16 - Melbourne to Sydney","","","","745.89","25-Jan-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","2 Feb 16 - Sydney to Canberra","","","","103.74","02-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Sydney","","","","103.74","04-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Sydney to Canberra","","","","103.74","07-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Sydney","","","","103.74","11-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","21 Feb 16 - Sydney to Canberra","","","","103.74","21-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Melbourne","","","","686.29","25-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","27 Feb 16 - Melbourne to Sydney","","","","698.76","27-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Sydney to Canberra","","","","328.20","28-Feb-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Sydney to Melbourne","","","","698.76","07-Mar-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Melbourne to Sydney","","","","698.76","07-Mar-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Mar 16 - Canberra to Sydney","","","","158.34","10-Mar-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Mar 16 - Sydney to Canberra","","","","103.74","14-Mar-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Mar 16 - Canberra to Sydney","","","","328.20","18-Mar-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Apr 16 - Sydney to Melbourne","","","","698.76","07-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Apr 16 - Melbourne to Sydney","","","","698.76","08-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","10 Apr 16 - Sydney to Brisbane","","","","698.67","10-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Apr 16 - Brisbane to Sydney","","","","698.67","12-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Apr 16 - Sydney to Canberra","","","","103.74","17-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","19 Apr 16 - Canberra to Sydney","","","","103.74","19-Apr-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 May 16 - Sydney to Canberra","","","","103.74","01-May-2016",""
"Michelle Rowland","Representative","Greenway","New South Wales","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 May 16 - Canberra to Sydney","","","","598.39","06-May-2016",""
