"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","3 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","08-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","22 Feb 16","24 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","22-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","29 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","29-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","3","273.00","","819.00","15-Mar-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Apr 16","18 Apr 16","Canberra","Sittings of Parliament","1","273.00","","273.00","18-Apr-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","1 Feb 16 - Adelaide to Canberra","","","","834.00","01-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Adelaide","","","","834.00","04-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Feb 16 - Adelaide to Canberra","","","","834.00","08-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","11 Feb 16 - Canberra to Adelaide","","","","834.00","11-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","22 Feb 16 - Adelaide to Canberra","","","","834.00","22-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","25 Feb 16 - Canberra to Adelaide","","","","834.00","25-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Adelaide to Whyalla","","","","373.95","26-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Whyalla to Adelaide","","","","373.95","26-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","29 Feb 16 - Adelaide to Canberra","","","","834.00","29-Feb-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Adelaide","","","","834.00","03-Mar-2016",""
"Nick Champion","Representative","Wakefield","South Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Mar 16 - Adelaide to Canberra","","","","834.00","15-Mar-2016",""
