"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","4 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","31-Jan-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","15 Feb 16","Melbourne","Economics - Sen","1","127.00","","127.00","15-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","18 Feb 16","18 Feb 16","Port Augusta","Electorate Business","1","95.00","","95.00","18-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","6 Mar 16","6 Mar 16","Sydney","Electorate Business","1","133.00","","133.00","06-Mar-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Mar 16","8 Mar 16","Brisbane","Electorate Business","1","408.00","","408.00","08-Mar-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","9 Mar 16","9 Mar 16","Sydney","Economics - Sen","1","397.00","","397.00","09-Mar-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","13 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","13-Mar-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Mar 16","31 Mar 16","Wollongong","Economics - Sen","1","287.00","","287.00","31-Mar-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","5 Apr 16","5 Apr 16","Canberra","Economics - Sen","1","273.00","","273.00","05-Apr-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","20 Apr 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","17-Apr-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Apr 16","21 Apr 16","Sydney","Economics - Sen","1","397.00","","397.00","21-Apr-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","3 May 16","Canberra","Sittings of Parliament","3","273.00","","819.00","01-May-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 May 16","5 May 16","Canberra","Senate Estimates","2","273.00","","546.00","04-May-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","14 Dec 15","14 Dec 15","Canberra","Economics - Sen","1","273.00","","273.00","14-Dec-2015",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","15 Dec 15","15 Dec 15","Canberra","Electorate Business","1","273.00","","273.00","15-Dec-2015",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Jan 16 - Adelaide to Melbourne","","","","200.30","30-Jan-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","30 Jan 16 - Melbourne to Canberra","","","","","30-Jan-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Canberra to Sydney","","","","278.34","05-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","5 Feb 16 - Sydney to Adelaide","","","","","05-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Feb 16 - Adelaide to Canberra","","","","187.53","07-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","12 Feb 16 - Canberra to Adelaide","","","","191.86","12-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","15 Feb 16 - Adelaide to Melbourne","","","","153.42","15-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","16 Feb 16 - Melbourne to Adelaide","","","","153.42","16-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Feb 16 - Adelaide to Melbourne","","","","497.42","20-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","20 Feb 16 - Melbourne to Canberra","","","","","20-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Canberra to Melbourne","","","","353.98","26-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","26 Feb 16 - Melbourne to Adelaide","","","","","26-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Adelaide to Melbourne","","","","183.48","28-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","28 Feb 16 - Melbourne to Canberra","","","","","28-Feb-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","3 Mar 16 - Canberra to Adelaide","","","","262.35","03-Mar-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","6 Mar 16 - Adelaide to Sydney","","","","178.35","06-Mar-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","7 Mar 16 - Sydney to Adelaide","","","","172.84","07-Mar-2016",""
"Nick Xenophon","Senator","","South Australia","Nick Xenophon Team","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Mar 16 - Adelaide to Brisbane","","","","233.05","08-Mar-2016",""
