"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","31 Jan 16","Canberra","Sittings of Parliament","1","273.00","","273.00","31-Jan-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 Feb 16","5 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-Feb-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","18 Feb 16","Melbourne","Community Affairs","2","127.00","","254.00","17-Feb-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","20 Feb 16","22 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","20-Feb-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","27 Feb 16","3 Mar 16","Canberra","Sittings of Parliament","6","273.00","","1,638.00","27-Feb-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","23 Mar 16","23 Mar 16","Alice Springs","Electorate Business","1","301.00","","301.00","23-Mar-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","30 Mar 16","30 Mar 16","Sydney","Electorate Business","1","397.00","","397.00","30-Mar-2016",""
"Nova Peris","Senator","","Northern Territory","Australian Labor Party","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Mar 16","3 Apr 16","Sydney","Electorate Business","4","133.00","","532.00","31-Mar-2016",""
