"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","9 May 16 - Cairns to Sydney","389.52","","09-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","10 May 16 - Sydney to Broome","918.72","","10-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","15 May 16 - Broome to Perth","699.53","","15-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","17 May 16 - Perth to Broome","699.53","","17-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","18 May 16 - Broome to Darwin","653.64","","18-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","21 May 16 - Darwin to Broome","653.64","","21-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","25 May 16 - Broome to Darwin","679.90","","25-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","29 May 16 - Melbourne to Broome","990.05","","29-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","1 Jun 16 - Broome to Darwin","679.90","","01-Jun-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","3 Jun 16 - Darwin to Broome","679.90","","03-Jun-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","8 Jun 16 - Broome to Perth","713.11","","08-Jun-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","11 Jun 16 - Perth to Kalgoorlie","378.34","","11-Jun-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","12 Jun 16 - Kalgoorlie to Perth","1,085.92","","12-Jun-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","12 Jun 16 - Perth to Broome","","","12-Jun-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Jun 16 - Broome to Kununurra","529.76","","20-Jun-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","28 Apr 16 - Perth","75.98","","28-Apr-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","29 Apr 16 - Canberra","40.00","","29-Apr-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","29 Apr 16 - Canberra","78.60","","29-Apr-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","1 May 16 - Canberra","78.60","","01-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","15 May 16 - Perth","78.60","","15-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Car Costs","COMCAR","From 1 January 2016","29 May 16 - Melbourne","80.80","","29-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Facilities","Office Facilities","From 1 January 2016","Aggregated Total","62,519.14","","01-Jan-1900"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","MFD Colour copy charge 28 Apr to 27 May 16","1,114.03","","27-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","MFD Monochrome copy charge 28 Apr to 27 May 16","0.02","","27-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Freight costs 24 May 16","1,579.32","","24-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Water refills 26 May 16","2.50","","26-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Water refills 26 May 16","76.00","","26-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Water refills 26 May 16 to 25 May 17","120.00","","26-May-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Administrative Costs","Office Consumables and Services","From 1 January 2016","Freight costs 8 Jun 16","97.28","","08-Jun-2016"
"Pat Dodson","Senator","","Western Australia","Australian Labor Party","Office Administrative Costs","Printing and Communications","From 1 January 2016","PO Box 3490 rental 28 Apr 16 to 31 Mar 17","80.45","","28-Apr-2016"
