"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Details","Amount","Notes","Date"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","9 Feb 16 - Brisbane to Canberra","798.76","","09-Feb-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","11 Feb 16 - Canberra to Brisbane","798.76","","11-Feb-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","31 Mar 16 - Brisbane to Sydney","781.48","","31-Mar-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","1 Apr 16 - Sydney to Brisbane","781.48","","01-Apr-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","5 Apr 16 - Brisbane to Canberra","798.76","","05-Apr-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","7 Apr 16 - Canberra to Sydney","598.39","","07-Apr-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","7 Apr 16 - Sydney to Brisbane","781.48","","07-Apr-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","25 May 16 - Brisbane to Sydney","781.48","","25-May-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","26 May 16 - Sydney to Brisbane","781.48","","26-May-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","31 May 16 - Brisbane to Sydney","781.48","","31-May-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","1 Jun 16 - Sydney to Canberra","598.39","","01-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","3 Jun 16 - Canberra to Sydney","598.39","","03-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","3 Jun 16 - Sydney to Brisbane","781.48","","03-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","14 Jun 16 - Brisbane to Cairns","995.80","","14-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","14 Jun 16 - Cairns to Horn Island","","","14-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","14 Jun 16 - Horn Island to Badu Island","463.41","","14-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","14 Jun 16 - Horn Island to Badu Island","40.00","","14-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Jun 16 - Boigu Island to Horn Island","463.41","","20-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Jun 16 - Horn Island to Cairns","995.80","","20-Jun-2016"
"Peter Slipper","Representative","Fisher","Queensland","Independent","Domestic Scheduled Fares","Fares","From 1 January 2016","20 Jun 16 - Cairns to Brisbane","","","20-Jun-2016"
