"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Type","Notes"
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","8 Feb 16","10 Feb 16","Canberra","Sittings of Parliament","3","273.00","","819.00","08-Feb-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Travelling Allowance","Parliamentary Travelling Allowance","Before 1 January 2016","13 Dec 15","13 Dec 15","Canberra","Intelligence and Security","1","273.00","","273.00","13-Dec-2015","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","From 1 January 2016","","","","","","","","630.00","01-Jan-1900","OS Representing a Minister 3B - Minor official expense advance",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Overseas Travel","Overseas Travel","Before 1 January 2016","","","","","","","","97.30","01-Jan-1900","OS Delegation - Passport costs",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Jan 16 - Sydney to Melbourne","","","","745.89","14-Jan-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","14 Jan 16 - Melbourne to Sydney","","","","745.89","14-Jan-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","17 Jan 16 - Sydney to Melbourne","","","","745.89","17-Jan-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","18 Jan 16 - Melbourne to Sydney","","","","745.89","18-Jan-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","31 Jan 16 - Sydney to Canberra","","","","598.39","31-Jan-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","4 Feb 16 - Canberra to Sydney","","","","328.20","04-Feb-2016","",""
"Philip Ruddock","Representative","Berowra","New South Wales","Liberal Party of Australia","Domestic Scheduled Fares","Fares","From 1 January 2016","","","","8 Feb 16 - Sydney to Canberra","","","","328.20","08-Feb-2016","",""
