"Name","MemberType","Electorate","State","Party","Category","SubCategory","Period","Date From","Date To","Location","Details","Nights","Rate","Spouse","Amount","Date","Notes"
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","31 Jan 16","3 Feb 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","31-Jan-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","7 Feb 16","11 Feb 16","Canberra","Senate Estimates","5","273.00","","1,365.00","07-Feb-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","15 Feb 16","16 Feb 16","Darwin","Finance and Public Administration","2","438.00","","876.00","15-Feb-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Feb 16","18 Feb 16","Melbourne","Community Affairs","2","379.00","","758.00","17-Feb-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","21 Feb 16","25 Feb 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","21-Feb-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Feb 16","2 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","28-Feb-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Mar 16","17 Mar 16","Canberra","Sittings of Parliament","4","273.00","","1,092.00","14-Mar-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","4 Apr 16","5 Apr 16","Townsville","National Disability Insurance Scheme","2","283.00","","566.00","04-Apr-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","14 Apr 16","14 Apr 16","Brisbane","Community Affairs","1","408.00","","408.00","14-Apr-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","17 Apr 16","19 Apr 16","Canberra","Sittings of Parliament","3","273.00","","819.00","17-Apr-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","28 Apr 16","28 Apr 16","Melbourne","Community Affairs","1","379.00","","379.00","28-Apr-2016",""
"Rachel Siewert","Senator","","Western Australia","Australian Greens","Travelling Allowance","Parliamentary Travelling Allowance","From 1 January 2016","1 May 16","5 May 16","Canberra","Sittings of Parliament","5","273.00","","1,365.00","01-May-2016",""
